クラス,血統,1着,2着,3着,着外
all,エピファネイア,4,2,3,18
all,キタサンブラック,3,3,2,8
all,キズナ,3,3,0,16
all,サートゥルナーリア,3,2,1,15
all,コントレイル,3,0,0,9
all,ロードカナロア,2,3,0,12
all,ドゥラメンテ,2,1,3,15
all,レイデオロ,2,0,3,6
all,シルバーステート,2,0,2,5
all,イスラボニータ,1,1,4,5
all,サトノダイヤモンド,1,1,2,13
all,リアルスティール,1,1,2,7
all,ヘンリーバローズ,1,1,1,2
all,モーリス,1,1,1,10
all,スワーヴリチャード,1,1,0,6
all,ディープインパクト,1,1,0,5
all,Gun Runner,1,0,1,1
all,ブリックスアンドモルタル,1,0,1,12
all,ロジャーバローズ,1,0,1,0
all,ウインブライト,1,0,0,1
all,オルフェーヴル,1,0,0,6
all,ゴールドアクター,1,0,0,0
all,デクラレーションオブウォー,1,0,0,4
all,ネオユニヴァース,1,0,0,2
all,ファインニードル,1,0,0,1
all,フェノーメノ,0,2,1,1
all,アルアイン,0,2,0,0
all,ハーツクライ,0,2,0,5
all,ルーラーシップ,0,1,1,7
all,Le Havre,0,1,0,0
all,Sioux Nation,0,1,0,0
all,Study of Man,0,1,0,0
all,カリフォルニアクローム,0,1,0,6
all,グレーターロンドン,0,1,0,4
all,ゴールドシップ,0,1,0,4
all,サトノアラジン,0,1,0,2
all,サンダースノー,0,1,0,0
all,タリスマニック,0,1,0,2
all,ポエティックフレア,0,1,0,0
all,リオンディーズ,0,1,0,3
all,ロゴタイプ,0,1,0,1
all,American Pharoah,0,0,1,1
all,エイシンフラッシュ,0,0,1,1
all,ザファクター,0,0,1,1
all,シュヴァルグラン,0,0,1,4
all,ジャスタウェイ,0,0,1,4
all,スマートオーディン,0,0,1,0
all,ダノンバラード,0,0,1,3
all,フィエールマン,0,0,1,8
all,フォーウィールドライブ,0,0,1,2
all,リオンリオン,0,0,1,0
all,ルヴァンスレーヴ,0,0,1,0
all,City Zip,0,0,0,1
all,Frankel,0,0,0,1
all,Kingman,0,0,0,2
all,Oscar Performance,0,0,0,1
all,Silver State,0,0,0,1
all,St Mark's Basilica,0,0,0,1
all,Tom's d'Etat,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドマイヤマーズ,0,0,0,3
all,アドマイヤムーン,0,0,0,1
all,アニマルキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,2
all,アレスバローズ,0,0,0,1
all,インディチャンプ,0,0,0,1
all,ウインバリアシオン,0,0,0,1
all,ウォータービルド,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キセキ,0,0,0,1
all,キングカメハメハ,0,0,0,2
all,クリソベリル,0,0,0,1
all,コパノリチャード,0,0,0,1
all,コパノリッキー,0,0,0,1
all,サトノクラウン,0,0,0,4
all,サングレーザー,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,3
all,ダイワメジャー,0,0,0,4
all,ダノンスマッシュ,0,0,0,2
all,ダノンプレミアム,0,0,0,2
all,ダノンレジェンド,0,0,0,0
all,ディープブリランテ,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ドレフォン,0,0,0,3
all,ナダル,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,ノヴェリスト,0,0,0,2
all,ノーブルミッション,0,0,0,4
all,ハービンジャー,0,0,0,7
all,バゴ,0,0,0,2
all,ビーチパトロール,0,0,0,2
all,ブラックタイド,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,ベストウォーリア,0,0,0,1
all,ベンバトル,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー,0,0,0,1
all,ミスターメロディ,0,0,0,1
all,ミッキーアイル,0,0,0,2
all,ミッキーロケット,0,0,0,3
all,メイショウサムソン,0,0,0,2
all,ヤマカツエース,0,0,0,1
all,ラブリーデイ,0,0,0,3
all,リーチザクラウン,0,0,0,1
all,レッドベルジュール,0,0,0,2
all,ワンアンドオンリー,0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴァンゴッホ,0,0,0,1
1勝クラス,エピファネイア,2,0,0,5
1勝クラス,キズナ,1,2,0,4
1勝クラス,レイデオロ,1,0,1,3
1勝クラス,ウインブライト,1,0,0,0
1勝クラス,スワーヴリチャード,1,0,0,0
1勝クラス,モーリス,1,0,0,3
1勝クラス,ロードカナロア,1,0,0,2
1勝クラス,フェノーメノ,0,2,1,1
1勝クラス,ハーツクライ,0,2,0,3
1勝クラス,サンダースノー,0,1,0,0
1勝クラス,ヘンリーバローズ,0,1,0,0
1勝クラス,イスラボニータ,0,0,1,2
1勝クラス,キタサンブラック,0,0,1,1
1勝クラス,サトノダイヤモンド,0,0,1,3
1勝クラス,サートゥルナーリア,0,0,1,4
1勝クラス,ブリックスアンドモルタル,0,0,1,2
1勝クラス,ルヴァンスレーヴ,0,0,1,0
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,アメリカンペイトリオット,0,0,0,1
1勝クラス,ウォータービルド,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,3
1勝クラス,グレーターロンドン,0,0,0,1
1勝クラス,コパノリチャード,0,0,0,1
1勝クラス,シュヴァルグラン,0,0,0,1
1勝クラス,シルバーステート,0,0,0,2
1勝クラス,ジャスタウェイ,0,0,0,2
1勝クラス,タリスマニック,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,2
1勝クラス,ニューイヤーズデイ,0,0,0,1
1勝クラス,ノーブルミッション,0,0,0,2
1勝クラス,バゴ,0,0,0,1
1勝クラス,マインドユアビスケッツ,0,0,0,1
1勝クラス,ミッキーロケット,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,リアルスティール,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ロゴタイプ,0,0,0,1
2勝クラス,ドゥラメンテ,1,0,1,1
2勝クラス,ネオユニヴァース,1,0,0,0
2勝クラス,ファインニードル,1,0,0,1
2勝クラス,ヘンリーバローズ,1,0,0,1
2勝クラス,ロードカナロア,1,0,0,0
2勝クラス,Le Havre,0,1,0,0
2勝クラス,カリフォルニアクローム,0,1,0,1
2勝クラス,グレーターロンドン,0,1,0,2
2勝クラス,ディープインパクト,0,1,0,2
2勝クラス,リオンディーズ,0,1,0,0
2勝クラス,エイシンフラッシュ,0,0,1,0
2勝クラス,シルバーステート,0,0,1,0
2勝クラス,スマートオーディン,0,0,1,0
2勝クラス,ダノンバラード,0,0,1,0
2勝クラス,City Zip,0,0,0,1
2勝クラス,アドマイヤマーズ,0,0,0,1
2勝クラス,エピファネイア,0,0,0,3
2勝クラス,オルフェーヴル,0,0,0,2
2勝クラス,キズナ,0,0,0,3
2勝クラス,サトノダイヤモンド,0,0,0,1
2勝クラス,ダイワメジャー,0,0,0,1
2勝クラス,ドリームジャーニー,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,2
2勝クラス,ブリックスアンドモルタル,0,0,0,1
2勝クラス,マジェスティックウォリアー,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,ラブリーデイ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ワンアンドオンリー,0,0,0,1
3勝クラス,ドゥラメンテ,1,0,1,2
3勝クラス,ディープインパクト,1,0,0,1
3勝クラス,サトノダイヤモンド,0,1,0,0
3勝クラス,ロゴタイプ,0,1,0,0
3勝クラス,ジャスタウェイ,0,0,1,1
3勝クラス,キズナ,0,0,0,2
3勝クラス,コパノリッキー,0,0,0,1
3勝クラス,ゴールドシップ,0,0,0,2
3勝クラス,スワーヴリチャード,0,0,0,2
3勝クラス,ダイワメジャー,0,0,0,1
3勝クラス,ディープブリランテ,0,0,0,1
3勝クラス,ネオユニヴァース,0,0,0,2
