クラス,血統,1着,2着,3着,着外
all,Gun Runner,1,0,0,0
all,ゴスホークケン,1,0,0,0
all,スクリーンヒーロー,1,0,0,0
all,ドゥラメンテ,1,0,0,2
all,アドマイヤムーン,0,1,0,0
all,スピルバーグ,0,1,0,1
all,マクフィ,0,1,0,1
all,ルーラーシップ,0,1,0,1
all,アイルハヴアナザー,0,0,1,0
all,トーセンラー,0,0,1,2
all,ハーツクライ,0,0,1,0
all,ロードカナロア,0,0,1,1
all,No Nay Never,0,0,0,1
all,アジアエクスプレス,0,0,0,2
all,アンライバルド,0,0,0,1
all,エイシンフラッシュ,0,0,0,3
all,エキストラエンド,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,エピファネイア,0,0,0,2
all,オルフェーヴル,0,0,0,2
all,キズナ,0,0,0,2
all,キンシャサノキセキ,0,0,0,2
all,ゴールドシップ,0,0,0,1
all,ザファクター,0,0,0,1
all,シルバーステート,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ミュゼスルタン,0,0,0,1
all,モーリス,0,0,0,4
all,リオンディーズ,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,ローエングリン,0,0,0,2
all,ワールドエース,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ゴスホークケン,1,0,0,0
1勝クラス,アドマイヤムーン,0,1,0,0
1勝クラス,ハーツクライ,0,0,1,0
1勝クラス,エスポワールシチー,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,スピルバーグ,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,トーセンラー,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,マンハッタンカフェ,0,0,0,1
1勝クラス,モーリス,0,0,0,2
1勝クラス,ルーラーシップ,0,0,0,1
新馬,Gun Runner,1,0,0,0
新馬,マクフィ,0,1,0,1
新馬,アイルハヴアナザー,0,0,1,0
新馬,アジアエクスプレス,0,0,0,1
新馬,エキストラエンド,0,0,0,1
新馬,エピファネイア,0,0,0,1
新馬,キンシャサノキセキ,0,0,0,1
新馬,ザファクター,0,0,0,1
新馬,シルバーステート,0,0,0,1
新馬,ジョーカプチーノ,0,0,0,1
新馬,ディーマジェスティ,0,0,0,1
新馬,ビッグアーサー,0,0,0,1
新馬,ミュゼスルタン,0,0,0,1
新馬,レッドスパーダ,0,0,0,1
新馬,ワールドエース,0,0,0,1
未勝利,スクリーンヒーロー,1,0,0,0
未勝利,ドゥラメンテ,1,0,0,1
未勝利,スピルバーグ,0,1,0,0
未勝利,ルーラーシップ,0,1,0,0
未勝利,トーセンラー,0,0,1,1
未勝利,ロードカナロア,0,0,1,1
未勝利,No Nay Never,0,0,0,1
未勝利,アジアエクスプレス,0,0,0,1
未勝利,アンライバルド,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,3
未勝利,エピファネイア,0,0,0,1
未勝利,オルフェーヴル,0,0,0,2
未勝利,キズナ,0,0,0,2
未勝利,ゴールドシップ,0,0,0,1
未勝利,トゥザグローリー,0,0,0,1
未勝利,トーセンジョーダン,0,0,0,1
未勝利,ネオユニヴァース,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,モーリス,0,0,0,2
未勝利,リオンディーズ,0,0,0,1
未勝利,ローエングリン,0,0,0,2
未勝利,ワールドエース,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
