クラス,血統,1着,2着,3着,着外
all,シニスターミニスター,1,1,0,1
all,ゴールドアリュール,1,0,1,1
all,Tonalist,1,0,0,0
all,アサクサキングス,1,0,0,0
all,キングカメハメハ,1,0,0,2
all,フリオーソ,1,0,0,3
all,ベルシャザール,1,0,0,2
all,メイショウボーラー,1,0,0,0
all,ヴィクトワールピサ,0,1,2,2
all,Tapit,0,1,1,1
all,ハーツクライ,0,1,1,4
all,カネヒキリ,0,1,0,0
all,ステイゴールド,0,1,0,0
all,ディープブリランテ,0,1,0,1
all,マジェスティックウォリアー,0,1,0,1
all,Constitution,0,0,1,0
all,キズナ,0,0,1,3
all,スマートファルコン,0,0,1,0
all,Blame,0,0,0,1
all,Curlin,0,0,0,1
all,Raven's Pass,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
all,アポロキングダム,0,0,0,1
all,アルデバラン,0,0,0,1
all,エスケンデレヤ,0,0,0,4
all,エスポワールシチー,0,0,0,1
all,エンパイアメーカー,0,0,0,2
all,オウケンブルースリ,0,0,0,1
all,カジノドライヴ,0,0,0,2
all,キングズベスト,0,0,0,1
all,キングヘイロー,0,0,0,3
all,キンシャサノキセキ,0,0,0,2
all,クロフネ,0,0,0,2
all,グランプリボス,0,0,0,1
all,ケープブランコ,0,0,0,1
all,シビルウォー,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,スピルバーグ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,1
all,ダンカーク,0,0,0,2
all,ティンバーカントリー,0,0,0,1
all,ディープスカイ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トゥザグローリー,0,0,0,2
all,トーセンホマレボシ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ニューイングランド,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,ノーブルミッション,0,0,0,2
all,ハイアーゲーム,0,0,0,1
all,ハードスパン,0,0,0,1
all,パイロ,0,0,0,2
all,ブラックタイド,0,0,0,3
all,ヘニーヒューズ,0,0,0,1
all,ベーカバド,0,0,0,2
all,ホワイトマズル,0,0,0,1
all,マンハッタンカフェ,0,0,0,2
all,メイショウサムソン,0,0,0,1
all,モンテロッソ,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ローズキングダム,0,0,0,1
all,ワンダーアキュート,0,0,0,1
all,ワークフォース,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァーミリアン,0,0,0,2
1勝クラス,シニスターミニスター,1,1,0,1
1勝クラス,キングカメハメハ,1,0,0,1
1勝クラス,メイショウボーラー,1,0,0,0
1勝クラス,ヴィクトワールピサ,0,1,1,1
