クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,14,6,6,66
all,リオンディーズ,11,3,2,17
all,モーリス,7,0,0,23
all,ディスクリートキャット,5,3,2,27
all,キンシャサノキセキ,4,3,7,55
all,ザファクター,4,2,6,26
all,ロードカナロア,4,1,1,38
all,アジアエクスプレス,3,6,5,31
all,スズカコーズウェイ,3,3,2,13
all,ドレフォン,3,3,1,22
all,ダノンレジェンド,3,2,2,20
all,アポロキングダム,3,2,1,19
all,シャンハイボビー,3,2,0,8
all,パイロ,3,0,3,25
all,ドゥラメンテ,3,0,1,10
all,ミッキーアイル,2,4,1,23
all,カレンブラックヒル,2,4,0,35
all,アイルハヴアナザー,2,3,1,15
all,Speightstown,2,3,0,7
all,イスラボニータ,2,2,3,19
all,バゴ,2,2,2,9
all,ルーラーシップ,2,2,1,8
all,ゴールドアリュール,2,1,2,14
all,ダイワメジャー,2,1,2,14
all,ジャスタウェイ,2,1,0,10
all,マジェスティックウォリアー,2,0,1,17
all,エンパイアメーカー,2,0,0,0
all,エイシンヒカリ,1,4,2,10
all,サウスヴィグラス,1,3,1,32
all,ビッグアーサー,1,2,4,29
all,コパノリッキー,1,2,1,18
all,ノボジャック,1,2,1,1
all,ディープブリランテ,1,2,0,16
all,リアルインパクト,1,2,0,14
all,シニスターミニスター,1,1,2,18
all,ストロングリターン,1,1,2,26
all,ストーミングホーム,1,1,2,2
all,アメリカンペイトリオット,1,1,1,15
all,トゥザワールド,1,1,1,18
all,ハクサンムーン,1,1,1,5
all,キングカメハメハ,1,1,0,4
all,ディーマジェスティ,1,1,0,3
all,ロジユニヴァース,1,1,0,8
all,モンテロッソ,1,0,2,14
all,Air Force Blue,1,0,1,1
all,Khozan,1,0,1,1
all,エスケンデレヤ,1,0,1,6
all,American Pharoah,1,0,0,4
all,Kantharos,1,0,0,0
all,Outstrip,1,0,0,1
all,Unified,1,0,0,0
all,グランデッツァ,1,0,0,4
all,セレスハント,1,0,0,0
all,ネロ,1,0,0,6
all,マインドユアビスケッツ,1,0,0,8
all,ラニ,1,0,0,4
all,ホッコータルマエ,0,5,1,17
all,アドマイヤムーン,0,4,0,29
all,シルバーステート,0,2,1,14
all,スマートファルコン,0,2,1,7
all,ハーツクライ,0,2,1,5
all,War Front,0,2,0,2
all,スクリーンヒーロー,0,2,0,11
all,ジョーカプチーノ,0,1,4,22
all,ダンカーク,0,1,4,11
all,ダノンシャンティ,0,1,3,7
all,サトノアラジン,0,1,2,10
all,プリサイスエンド,0,1,2,18
all,レッドファルクス,0,1,2,6
all,Dutch Art,0,1,1,0
all,Into Mischief,0,1,1,6
all,Midnight Lute,0,1,1,3
all,クロフネ,0,1,1,11
all,トーセンファントム,0,1,1,1
all,ハービンジャー,0,1,1,8
all,メイショウボーラー,0,1,1,17
all,Bobby's Kitten,0,1,0,1
all,Carpe Diem,0,1,0,2
all,キタサンブラック,0,1,0,3
all,グランプリボス,0,1,0,5
all,ケイムホーム,0,1,0,5
all,ゴスホークケン,0,1,0,1
all,トビーズコーナー,0,1,0,1
all,ファインニードル,0,1,0,8
all,リーチザクラウン,0,1,0,8
all,ヴァーミリアン,0,1,0,1
all,エスポワールシチー,0,0,6,21
all,キズナ,0,0,2,12
all,ブラックタイド,0,0,2,12
all,マクフィ,0,0,2,23
all,Connect,0,0,1,0
all,First Samurai,0,0,1,0
all,エーシンフォワード,0,0,1,0
all,オルフェーヴル,0,0,1,16
all,スウェプトオーヴァーボード,0,0,1,18
all,ノヴェリスト,0,0,1,13
all,ベストウォーリア,0,0,1,7
all,ラブリーデイ,0,0,1,9
all,リアルスティール,0,0,1,5
all,ロージズインメイ,0,0,1,13
all,Central Banker,0,0,0,1
all,City Zip,0,0,0,1
all,City of Light,0,0,0,1
all,Dark Angel,0,0,0,2
all,Dialed In,0,0,0,1
all,Distorted Humor,0,0,0,2
all,Goldencents,0,0,0,1
all,Haynesfield,0,0,0,1
all,I Am Invincible,0,0,0,1
all,Iffraaj,0,0,0,1
all,Kendargent,0,0,0,1
all,Lemon Drop Kid,0,0,0,2
all,Lord Nelson,0,0,0,1
all,Malibu Moon,0,0,0,1
all,Mineshaft,0,0,0,1
all,More Than Ready,0,0,0,1
all,No Nay Never,0,0,0,1
all,Overanalyze,0,0,0,2
all,Practical Joke,0,0,0,1
all,Street Cry,0,0,0,1
all,Summer Front,0,0,0,1
all,Uncle Mo,0,0,0,1
all,Violence,0,0,0,2
all,West Coast,0,0,0,1
all,アイファーソング,0,0,0,5
all,アスカクリチャン,0,0,0,3
all,アドマイヤマックス,0,0,0,1
all,アポロソニック,0,0,0,2
all,アルデバラン,0,0,0,4
all,アロマカフェ,0,0,0,3
all,アンライバルド,0,0,0,5
all,アーネストリー,0,0,0,4
all,インカンテーション,0,0,0,1
all,ウインバリアシオン,0,0,0,4
all,エイシンフラッシュ,0,0,0,16
all,エピファネイア,0,0,0,8
all,エーシンシャラク,0,0,0,1
all,オーシャンブルー,0,0,0,1
all,カジノドライヴ,0,0,0,4
all,カネヒキリ,0,0,0,2
all,カルストンライトオ,0,0,0,3
all,ガルボ,0,0,0,1
all,クラウンレガーロ,0,0,0,1
all,クリエイター,0,0,0,1
all,グラスワンダー,0,0,0,2
all,ケープブランコ,0,0,0,2
all,コパノリチャード,0,0,0,1
all,コンデュイット,0,0,0,1
all,ゴールドアクター,0,0,0,5
all,ゴールドシップ,0,0,0,2
all,サムライハート,0,0,0,3
all,サンカルロ,0,0,0,2
all,シビルウォー,0,0,0,2
all,ショウナンカンプ,0,0,0,2
all,シルポート,0,0,0,1
all,シングンオペラ,0,0,0,1
all,ジャングルポケット,0,0,0,5
all,スクワートルスクワート,0,0,0,1
all,スズカフェニックス,0,0,0,2
all,スタチューオブリバティ,0,0,0,3
all,ステイゴールド,0,0,0,1
all,スニッツェル,0,0,0,1
all,スノードラゴン,0,0,0,1
all,スピルバーグ,0,0,0,5
all,スペシャルウィーク,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,3
all,タイセイレジェンド,0,0,0,4
all,タイムパラドックス,0,0,0,5
all,タニノギムレット,0,0,0,4
all,タリスマニック,0,0,0,2
all,タートルボウル,0,0,0,2
all,ダノンシャーク,0,0,0,2
all,ダノンバラード,0,0,0,2
all,チェリークラウン,0,0,0,1
all,ディープインパクト,0,0,0,1
all,デクラレーションオブウォー,0,0,0,3
all,トゥザグローリー,0,0,0,3
all,トウケイヘイロー,0,0,0,2
all,トランセンド,0,0,0,7
all,トーセンジョーダン,0,0,0,4
all,トーセンラー,0,0,0,3
all,ドリームジャーニー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ニシケンモノノフ,0,0,0,1
all,ネオユニヴァース,0,0,0,6
all,バトルプラン,0,0,0,7
all,バンブーエール,0,0,0,3
all,パドトロワ,0,0,0,7
all,ビーチパトロール,0,0,0,4
all,フェノーメノ,0,0,0,4
all,フサイチセブン,0,0,0,4
all,フリオーソ,0,0,0,11
all,フレンチデピュティ,0,0,0,1
all,ヘニーハウンド,0,0,0,2
all,ベルシャザール,0,0,0,9
all,ベーカバド,0,0,0,5
all,ペルーサ,0,0,0,1
all,ホワイトマズル,0,0,0,1
all,ポアゾンブラック,0,0,0,1
all,マスクゾロ,0,0,0,2
all,マツリダゴッホ,0,0,0,9
all,マンハッタンカフェ,0,0,0,1
all,ミッキーロケット,0,0,0,7
all,ミュゼスルタン,0,0,0,6
all,ミリオンディスク,0,0,0,1
all,メイショウサムソン,0,0,0,2
all,メジロダイボサツ,0,0,0,1
all,ヤマカツエース,0,0,0,1
all,ヤマニンセラフィム,0,0,0,1
all,ヨハネスブルグ,0,0,0,7
all,リヤンドファミユ,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,レーヴミストラル,0,0,0,6
all,ロゴタイプ,0,0,0,12
all,ローレルゲレイロ,0,0,0,2
all,ワイルドワンダー,0,0,0,3
all,ワールドエース,0,0,0,11
all,ヴァンセンヌ,0,0,0,3
all,ヴィクトワールピサ,0,0,0,3
1勝クラス,リオンディーズ,4,3,0,5
1勝クラス,ヘニーヒューズ,3,0,1,17
1勝クラス,ディスクリートキャット,2,1,1,5
1勝クラス,Speightstown,2,1,0,0
1勝クラス,パイロ,2,0,1,8
1勝クラス,カレンブラックヒル,2,0,0,7
1勝クラス,モーリス,2,0,0,6
1勝クラス,スズカコーズウェイ,1,2,0,4
1勝クラス,ダノンレジェンド,1,1,2,2
1勝クラス,ザファクター,1,1,1,3
1勝クラス,バゴ,1,1,1,3
1勝クラス,ジャスタウェイ,1,1,0,2
1勝クラス,ディープブリランテ,1,1,0,10
1勝クラス,リアルインパクト,1,1,0,1
1勝クラス,ルーラーシップ,1,1,0,5
1勝クラス,ゴールドアリュール,1,0,2,7
1勝クラス,Air Force Blue,1,0,1,0
1勝クラス,ドゥラメンテ,1,0,1,7
1勝クラス,American Pharoah,1,0,0,1
1勝クラス,Outstrip,1,0,0,0
1勝クラス,Unified,1,0,0,0
1勝クラス,イスラボニータ,1,0,0,3
1勝クラス,ドレフォン,1,0,0,8
1勝クラス,ロードカナロア,1,0,0,9
1勝クラス,アジアエクスプレス,0,4,1,12
1勝クラス,War Front,0,2,0,2
1勝クラス,ハーツクライ,0,2,0,1
1勝クラス,ホッコータルマエ,0,2,0,7
1勝クラス,ジョーカプチーノ,0,1,3,10
1勝クラス,キンシャサノキセキ,0,1,2,17
1勝クラス,トーセンファントム,0,1,1,1
1勝クラス,プリサイスエンド,0,1,1,5
1勝クラス,ミッキーアイル,0,1,1,6
1勝クラス,Bobby's Kitten,0,1,0,0
1勝クラス,アイルハヴアナザー,0,1,0,6
1勝クラス,アメリカンペイトリオット,0,1,0,3
1勝クラス,ダイワメジャー,0,1,0,4
1勝クラス,ノボジャック,0,1,0,1
1勝クラス,ロジユニヴァース,0,1,0,5
1勝クラス,ストロングリターン,0,0,2,4
1勝クラス,モンテロッソ,0,0,2,3
1勝クラス,Connect,0,0,1,0
1勝クラス,First Samurai,0,0,1,0
1勝クラス,エスポワールシチー,0,0,1,9
1勝クラス,キズナ,0,0,1,5
1勝クラス,シニスターミニスター,0,0,1,6
1勝クラス,スウェプトオーヴァーボード,0,0,1,11
1勝クラス,ダンカーク,0,0,1,0
1勝クラス,ビッグアーサー,0,0,1,4
1勝クラス,マクフィ,0,0,1,5
1勝クラス,City Zip,0,0,0,1
1勝クラス,Dark Angel,0,0,0,1
1勝クラス,Dialed In,0,0,0,1
1勝クラス,Into Mischief,0,0,0,1
1勝クラス,Kendargent,0,0,0,1
1勝クラス,Lemon Drop Kid,0,0,0,1
1勝クラス,Lord Nelson,0,0,0,1
1勝クラス,More Than Ready,0,0,0,1
1勝クラス,Overanalyze,0,0,0,1
1勝クラス,Summer Front,0,0,0,1
1勝クラス,Uncle Mo,0,0,0,1
1勝クラス,アスカクリチャン,0,0,0,2
1勝クラス,アドマイヤムーン,0,0,0,6
1勝クラス,アポロキングダム,0,0,0,5
1勝クラス,アロマカフェ,0,0,0,1
1勝クラス,アンライバルド,0,0,0,2
1勝クラス,アーネストリー,0,0,0,3
1勝クラス,エイシンヒカリ,0,0,0,5
1勝クラス,エスケンデレヤ,0,0,0,1
1勝クラス,エピファネイア,0,0,0,7
1勝クラス,オルフェーヴル,0,0,0,2
1勝クラス,カジノドライヴ,0,0,0,4
1勝クラス,カルストンライトオ,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,4
1勝クラス,クロフネ,0,0,0,1
1勝クラス,グラスワンダー,0,0,0,1
1勝クラス,グランデッツァ,0,0,0,4
1勝クラス,グランプリボス,0,0,0,1
1勝クラス,ケイムホーム,0,0,0,2
1勝クラス,ケープブランコ,0,0,0,1
1勝クラス,コパノリッキー,0,0,0,2
1勝クラス,コンデュイット,0,0,0,1
1勝クラス,ゴスホークケン,0,0,0,1
1勝クラス,サウスヴィグラス,0,0,0,7
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,シャンハイボビー,0,0,0,1
1勝クラス,シングンオペラ,0,0,0,1
1勝クラス,ジャングルポケット,0,0,0,3
1勝クラス,スクリーンヒーロー,0,0,0,3
1勝クラス,スクワートルスクワート,0,0,0,1
1勝クラス,スニッツェル,0,0,0,1
1勝クラス,スピルバーグ,0,0,0,2
1勝クラス,スペシャルウィーク,0,0,0,1
1勝クラス,スマートファルコン,0,0,0,3
1勝クラス,ゼンノロブロイ,0,0,0,1
1勝クラス,タイキシャトル,0,0,0,2
1勝クラス,タイセイレジェンド,0,0,0,1
1勝クラス,タニノギムレット,0,0,0,1
1勝クラス,タリスマニック,0,0,0,1
1勝クラス,タートルボウル,0,0,0,2
1勝クラス,ダノンシャンティ,0,0,0,2
1勝クラス,デクラレーションオブウォー,0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
