クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,2,2,1,7
all,メイショウボーラー,2,0,1,12
all,サウスヴィグラス,1,1,1,8
all,Into Mischief,1,1,0,0
all,オルフェーヴル,1,1,0,4
all,キンシャサノキセキ,1,1,0,3
all,ダイワメジャー,1,0,1,3
all,Maclean's Music,1,0,0,0
all,カレンブラックヒル,1,0,0,2
all,サトノアラジン,1,0,0,0
all,ミッキーアイル,1,0,0,0
all,リアルインパクト,1,0,0,3
all,ルーラーシップ,1,0,0,2
all,ロードカナロア,0,2,0,4
all,ハーツクライ,0,1,2,1
all,シニスターミニスター,0,1,1,4
all,ホッコータルマエ,0,1,1,1
all,エイシンフラッシュ,0,1,0,2
all,スクリーンヒーロー,0,1,0,1
all,スマートファルコン,0,1,0,3
all,トーセンジョーダン,0,1,0,1
all,オナーコード,0,0,1,0
all,クリエイター,0,0,1,0
all,トゥザワールド,0,0,1,1
all,ドゥラメンテ,0,0,1,1
all,パドトロワ,0,0,1,3
all,フリオーソ,0,0,1,1
all,ベーカバド,0,0,1,2
all,Central Banker,0,0,0,1
all,Elusive City,0,0,0,1
all,Haynesfield,0,0,0,1
all,Khozan,0,0,0,1
all,Siyouni,0,0,0,1
all,Speightstown,0,0,0,2
all,Street Cry,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドマイヤムーン,0,0,0,3
all,エスポワールシチー,0,0,0,2
all,エピファネイア,0,0,0,1
all,オレハマッテルゼ,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,カネヒキリ,0,0,0,2
all,キズナ,0,0,0,4
all,キングカメハメハ,0,0,0,1
all,クロフネ,0,0,0,3
all,グランプリボス,0,0,0,2
all,コパノリチャード,0,0,0,4
all,コパノリッキー,0,0,0,1
all,ゴールドアリュール,0,0,0,3
all,サウンドボルケーノ,0,0,0,1
all,サムライハート,0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,シルポート,0,0,0,1
all,ジャスタウェイ,0,0,0,4
all,スウェプトオーヴァーボード,0,0,0,4
all,ストロングリターン,0,0,0,2
all,ソングオブウインド,0,0,0,1
all,タイキシャトル,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ダノンシャーク,0,0,0,1
all,ダノンレジェンド,0,0,0,4
all,ダンカーク,0,0,0,2
all,ディスクリートキャット,0,0,0,1
all,ディープインパクト,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,2
all,トーセンラー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ニホンピロアワーズ,0,0,0,1
all,ネオユニヴァース,0,0,0,3
all,ノボジャック,0,0,0,2
all,ハードスパン,0,0,0,1
all,バトルプラン,0,0,0,2
all,バンブーエール,0,0,0,1
all,パイロ,0,0,0,2
all,フェノーメノ,0,0,0,2
all,フサイチセブン,0,0,0,1
all,プリサイスエンド,0,0,0,6
all,ベルシャザール,0,0,0,1
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー,0,0,0,3
all,メイショウサムソン,0,0,0,1
all,モンテロッソ,0,0,0,1
all,モーリス,0,0,0,1
all,ヨハネスブルグ,0,0,0,2
all,リオンディーズ,0,0,0,1
all,ロードアルティマ,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ヘニーヒューズ,1,2,1,2
1勝クラス,サウスヴィグラス,1,1,1,1
1勝クラス,オルフェーヴル,1,0,0,2
1勝クラス,カレンブラックヒル,1,0,0,0
1勝クラス,ロードカナロア,0,1,0,2
1勝クラス,トゥザワールド,0,0,1,0
1勝クラス,ベーカバド,0,0,1,0
1勝クラス,Speightstown,0,0,0,1
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,エイシンフラッシュ,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,1
1勝クラス,カジノドライヴ,0,0,0,1
1勝クラス,キズナ,0,0,0,4
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,コパノリチャード,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,2
1勝クラス,スウェプトオーヴァーボード,0,0,0,3
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,スマートファルコン,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
1勝クラス,ノボジャック,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,ハードスパン,0,0,0,1
1勝クラス,バトルプラン,0,0,0,1
1勝クラス,パイロ,0,0,0,1
1勝クラス,パドトロワ,0,0,0,1
1勝クラス,フェノーメノ,0,0,0,1
1勝クラス,フサイチセブン,0,0,0,1
1勝クラス,マジェスティックウォリアー,0,0,0,3
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,ヨハネスブルグ,0,0,0,2
1勝クラス,リアルインパクト,0,0,0,2
1勝クラス,ワールドエース,0,0,0,1
2勝クラス,Into Mischief,1,1,0,0
2勝クラス,メイショウボーラー,1,0,1,5
2勝クラス,Maclean's Music,1,0,0,0
2勝クラス,キンシャサノキセキ,1,0,0,2
2勝クラス,ヘニーヒューズ,1,0,0,3
2勝クラス,ハーツクライ,0,1,2,0
2勝クラス,オルフェーヴル,0,1,0,0
2勝クラス,スクリーンヒーロー,0,1,0,0
2勝クラス,ロードカナロア,0,1,0,1
2勝クラス,ダイワメジャー,0,0,1,1
2勝クラス,パドトロワ,0,0,1,2
2勝クラス,Central Banker,0,0,0,1
2勝クラス,Elusive City,0,0,0,1
2勝クラス,Khozan,0,0,0,1
2勝クラス,Siyouni,0,0,0,1
2勝クラス,Speightstown,0,0,0,1
2勝クラス,アドマイヤムーン,0,0,0,2
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,カネヒキリ,0,0,0,2
2勝クラス,カレンブラックヒル,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,クロフネ,0,0,0,3
2勝クラス,グランプリボス,0,0,0,1
2勝クラス,ゴールドアリュール,0,0,0,2
2勝クラス,サウスヴィグラス,0,0,0,3
2勝クラス,シニスターミニスター,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,3
2勝クラス,スウェプトオーヴァーボード,0,0,0,1
2勝クラス,ストロングリターン,0,0,0,2
2勝クラス,スマートファルコン,0,0,0,1
2勝クラス,タイキシャトル,0,0,0,1
2勝クラス,トゥザグローリー,0,0,0,1
2勝クラス,トゥザワールド,0,0,0,1
2勝クラス,ネオユニヴァース,0,0,0,2
2勝クラス,ノボジャック,0,0,0,1
2勝クラス,バトルプラン,0,0,0,1
2勝クラス,パイロ,0,0,0,1
2勝クラス,フェノーメノ,0,0,0,1
2勝クラス,フリオーソ,0,0,0,1
2勝クラス,プリサイスエンド,0,0,0,5
2勝クラス,ベルシャザール,0,0,0,1
2勝クラス,ベーカバド,0,0,0,2
2勝クラス,モンテロッソ,0,0,0,1
3勝クラス,メイショウボーラー,1,0,0,1
3勝クラス,キンシャサノキセキ,0,1,0,0
3勝クラス,オナーコード,0,0,1,0
3勝クラス,Haynesfield,0,0,0,1
3勝クラス,Street Cry,0,0,0,1
3勝クラス,オルフェーヴル,0,0,0,1
3勝クラス,オレハマッテルゼ,0,0,0,1
3勝クラス,ゴールドアリュール,0,0,0,1
3勝クラス,サウスヴィグラス,0,0,0,1
3勝クラス,サムライハート,0,0,0,1
3勝クラス,ソングオブウインド,0,0,0,1
3勝クラス,ディープブリランテ,0,0,0,1
3勝クラス,ネオユニヴァース,0,0,0,1
3勝クラス,メイショウサムソン,0,0,0,1
3勝クラス,ロードカナロア,0,0,0,1
未勝利,サトノアラジン,1,0,0,0
未勝利,ダイワメジャー,1,0,0,1
未勝利,ミッキーアイル,1,0,0,0
未勝利,リアルインパクト,1,0,0,1
未勝利,ルーラーシップ,1,0,0,2
未勝利,シニスターミニスター,0,1,1,1
未勝利,ホッコータルマエ,0,1,1,1
未勝利,エイシンフラッシュ,0,1,0,0
未勝利,スマートファルコン,0,1,0,1
未勝利,トーセンジョーダン,0,1,0,1
未勝利,クリエイター,0,0,1,0
未勝利,ドゥラメンテ,0,0,1,1
未勝利,フリオーソ,0,0,1,0
未勝利,アイルハヴアナザー,0,0,0,1
未勝利,アジアエクスプレス,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,グランプリボス,0,0,0,1
未勝利,コパノリチャード,0,0,0,3
未勝利,コパノリッキー,0,0,0,1
未勝利,サウスヴィグラス,0,0,0,3
未勝利,サウンドボルケーノ,0,0,0,1
未勝利,ショウナンカンプ,0,0,0,1
未勝利,シルポート,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,ダノンシャーク,0,0,0,1
未勝利,ダノンレジェンド,0,0,0,3
未勝利,ダンカーク,0,0,0,1
未勝利,ディスクリートキャット,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ナカヤマフェスタ,0,0,0,1
未勝利,ニホンピロアワーズ,0,0,0,1
未勝利,バンブーエール,0,0,0,1
未勝利,プリサイスエンド,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,2
未勝利,マクフィ,0,0,0,2
未勝利,メイショウボーラー,0,0,0,5
未勝利,モーリス,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ロードアルティマ,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
