クラス,血統,1着,2着,3着,着外
all,インディチャンプ,2,0,1,1
all,ダイワメジャー,1,0,2,0
all,アニマルキングダム,1,0,0,0
all,アルアイン,1,0,0,2
all,サトノダイヤモンド,1,0,0,0
all,サンダースノー,1,0,0,1
all,ダンカーク,1,0,0,0
all,ビッグアーサー,0,2,1,6
all,マインドユアビスケッツ,0,2,0,0
all,Kingman,0,1,0,0
all,カリフォルニアクローム,0,1,0,0
all,ルーラーシップ,0,1,0,1
all,レイデオロ,0,1,0,0
all,アメリカンペイトリオット,0,0,1,3
all,キズナ,0,0,1,2
all,グァンチャーレ,0,0,1,0
all,ドレフォン,0,0,1,1
all,Frankel,0,0,0,1
all,Home Affairs,0,0,0,1
all,Invincible Spirit,0,0,0,1
all,Stay Inside,0,0,0,1
all,アドマイヤマーズ,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アドミラブル,0,0,0,1
all,イスラボニータ,0,0,0,1
all,ウインブライト,0,0,0,3
all,エイシンヒカリ,0,0,0,1
all,エピファネイア,0,0,0,2
all,エポカドーロ,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キタサンブラック,0,0,0,1
all,グレーターロンドン,0,0,0,2
all,ゴールドドリーム,0,0,0,1
all,シスキン,0,0,0,2
all,シャンハイボビー,0,0,0,2
all,シルバーステート,0,0,0,3
all,ストロングリターン,0,0,0,2
all,スノードラゴン,0,0,0,1
all,セイウンコウセイ,0,0,0,2
all,タニノフランケル,0,0,0,1
all,タリスマニック,0,0,0,1
all,タワーオブロンドン,0,0,0,3
all,ダノンキングリー,0,0,0,1
all,ダノンスマッシュ,0,0,0,1
all,ダノンバラード,0,0,0,2
all,ダノンプレミアム,0,0,0,1
all,ディスクリートキャット,0,0,0,4
all,デクラレーションオブウォー,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,パドトロワ,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,フィエールマン,0,0,0,2
all,フィレンツェファイア,0,0,0,1
all,フォーウィールドライブ,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,ベンバトル,0,0,0,3
all,ポエティックフレア,0,0,0,1
all,マテラスカイ,0,0,0,1
all,ミスターメロディ,0,0,0,2
all,ミスチヴィアスアレックス,0,0,0,3
all,ミッキーアイル,0,0,0,2
all,モーリス,0,0,0,3
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リオンリオン,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,レッドファルクス,0,0,0,1
all,ロゴタイプ,0,0,0,1
all,ロードカナロア,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ダイワメジャー,1,0,1,0
1勝クラス,アニマルキングダム,1,0,0,0
1勝クラス,サトノダイヤモンド,1,0,0,0
1勝クラス,ビッグアーサー,0,2,0,4
1勝クラス,カリフォルニアクローム,0,1,0,0
1勝クラス,グァンチャーレ,0,0,1,0
1勝クラス,ドレフォン,0,0,1,0
1勝クラス,Frankel,0,0,0,1
1勝クラス,Invincible Spirit,0,0,0,1
1勝クラス,アドマイヤマーズ,0,0,0,1
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,アドミラブル,0,0,0,1
1勝クラス,アルアイン,0,0,0,1
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,インディチャンプ,0,0,0,1
1勝クラス,ウインブライト,0,0,0,1
1勝クラス,エピファネイア,0,0,0,2
1勝クラス,キズナ,0,0,0,1
1勝クラス,ゴールドドリーム,0,0,0,1
1勝クラス,サンダースノー,0,0,0,1
1勝クラス,シャンハイボビー,0,0,0,1
1勝クラス,ストロングリターン,0,0,0,2
1勝クラス,タニノフランケル,0,0,0,1
1勝クラス,タワーオブロンドン,0,0,0,2
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,ディスクリートキャット,0,0,0,2
1勝クラス,デクラレーションオブウォー,0,0,0,1
1勝クラス,パドトロワ,0,0,0,1
1勝クラス,フォーウィールドライブ,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,ミスターメロディ,0,0,0,1
1勝クラス,モーリス,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
2勝クラス,サンダースノー,1,0,0,0
2勝クラス,ルーラーシップ,0,1,0,1
2勝クラス,ダイワメジャー,0,0,1,0
2勝クラス,アメリカンペイトリオット,0,0,0,1
2勝クラス,エイシンヒカリ,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,グレーターロンドン,0,0,0,1
2勝クラス,スノードラゴン,0,0,0,1
2勝クラス,ディスクリートキャット,0,0,0,1
2勝クラス,ビッグアーサー,0,0,0,1
2勝クラス,フィエールマン,0,0,0,1
2勝クラス,ミッキーアイル,0,0,0,1
2勝クラス,リアルインパクト,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
新馬,アルアイン,1,0,0,1
新馬,レイデオロ,0,1,0,0
新馬,ビッグアーサー,0,0,1,0
新馬,アメリカンペイトリオット,0,0,0,1
新馬,エポカドーロ,0,0,0,1
新馬,ディスクリートキャット,0,0,0,1
新馬,ニューイヤーズデイ,0,0,0,1
新馬,ミスチヴィアスアレックス,0,0,0,1
新馬,ミッキーアイル,0,0,0,1
新馬,リオンリオン,0,0,0,1
未勝利,インディチャンプ,2,0,1,0
未勝利,ダンカーク,1,0,0,0
未勝利,マインドユアビスケッツ,0,2,0,0
未勝利,Kingman,0,1,0,0
未勝利,アメリカンペイトリオット,0,0,1,1
未勝利,キズナ,0,0,1,0
未勝利,Home Affairs,0,0,0,1
未勝利,Stay Inside,0,0,0,1
未勝利,ウインブライト,0,0,0,2
未勝利,オルフェーヴル,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キタサンブラック,0,0,0,1
未勝利,グレーターロンドン,0,0,0,1
未勝利,シスキン,0,0,0,2
未勝利,シャンハイボビー,0,0,0,1
未勝利,シルバーステート,0,0,0,3
未勝利,セイウンコウセイ,0,0,0,2
未勝利,タリスマニック,0,0,0,1
未勝利,タワーオブロンドン,0,0,0,1
未勝利,ダノンキングリー,0,0,0,1
未勝利,ダノンスマッシュ,0,0,0,1
未勝利,ダノンバラード,0,0,0,1
未勝利,ダノンプレミアム,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,ビッグアーサー,0,0,0,1
未勝利,ビーチパトロール,0,0,0,1
未勝利,フィエールマン,0,0,0,1
未勝利,フィレンツェファイア,0,0,0,1
未勝利,ベンバトル,0,0,0,3
未勝利,ポエティックフレア,0,0,0,1
未勝利,マテラスカイ,0,0,0,1
未勝利,ミスターメロディ,0,0,0,1
未勝利,ミスチヴィアスアレックス,0,0,0,2
未勝利,モーリス,0,0,0,2
未勝利,リオンディーズ,0,0,0,1
未勝利,レッドファルクス,0,0,0,1
未勝利,ロゴタイプ,0,0,0,1
