クラス,血統,1着,2着,3着,着外
all,シニスターミニスター,2,2,0,2
all,リアルインパクト,1,2,0,1
all,サウスヴィグラス,1,1,0,4
all,Elusive Quality,1,0,0,0
all,アーネストリー,1,0,0,0
all,カルストンライトオ,1,0,0,0
all,キズナ,1,0,0,1
all,ディスクリートキャット,1,0,0,1
all,ドゥラメンテ,1,0,0,0
all,メイショウボーラー,0,1,1,4
all,Into Mischief,0,1,0,1
all,カレンブラックヒル,0,1,0,1
all,ハーツクライ,0,1,0,2
all,ロードカナロア,0,1,0,3
all,アジアエクスプレス,0,0,1,1
all,キンシャサノキセキ,0,0,1,4
all,ゴールドアリュール,0,0,1,2
all,スクリーンヒーロー,0,0,1,1
all,スズカコーズウェイ,0,0,1,0
all,パイロ,0,0,1,4
all,ホッコータルマエ,0,0,1,2
all,ルーラーシップ,0,0,1,3
all,Distorted Humor,0,0,0,0
all,Frankel,0,0,0,1
all,Graydar,0,0,0,1
all,Haynesfield,0,0,0,1
all,Khozan,0,0,0,1
all,Malibu Moon,0,0,0,1
all,More Than Ready,0,0,0,1
all,Overanalyze,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,アンライバルド,0,0,0,1
all,エスポワールシチー,0,0,0,3
all,オレハマッテルゼ,0,0,0,1
all,キングヘイロー,0,0,0,2
all,クロフネ,0,0,0,3
all,グランプリボス,0,0,0,1
all,コパノリチャード,0,0,0,2
all,サトノアラジン,0,0,0,1
all,ショウナンカンプ,0,0,0,3
all,ジャスタウェイ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スマートファルコン,0,0,0,1
all,タニノギムレット,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,2
all,ダノンレジェンド,0,0,0,1
all,ダンカーク,0,0,0,1
all,チェリークラウン,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,3
all,トーセンラー,0,0,0,1
all,ハービンジャー,0,0,0,1
all,バトルプラン,0,0,0,1
all,パドトロワ,0,0,0,1
all,フェノーメノ,0,0,0,3
all,フサイチセブン,0,0,0,1
all,フリオーソ,0,0,0,1
all,ヘニーヒューズ,0,0,0,3
all,マクフィ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,ミッキーアイル,0,0,0,2
all,メイショウサムソン,0,0,0,1
all,モーリス,0,0,0,3
all,ヨハネスブルグ,0,0,0,1
all,ラブリーデイ,0,0,0,2
all,リオンディーズ,0,0,0,2
all,ワールドエース,0,0,0,1
all,ヴィクトワールピサ,0,0,0,2
all,ヴィットリオドーロ,0,0,0,1
1勝クラス,リアルインパクト,1,1,0,0
1勝クラス,Elusive Quality,1,0,0,0
1勝クラス,ロードカナロア,0,1,0,0
1勝クラス,ゴールドアリュール,0,0,1,0
1勝クラス,スクリーンヒーロー,0,0,1,0
1勝クラス,Frankel,0,0,0,1
1勝クラス,Graydar,0,0,0,1
1勝クラス,Malibu Moon,0,0,0,1
1勝クラス,Overanalyze,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,2
1勝クラス,キンシャサノキセキ,0,0,0,2
1勝クラス,ストロングリターン,0,0,0,1
1勝クラス,スマートファルコン,0,0,0,1
1勝クラス,ディスクリートキャット,0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
1勝クラス,フェノーメノ,0,0,0,1
1勝クラス,フサイチセブン,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,ミッキーアイル,0,0,0,1
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,モーリス,0,0,0,2
1勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,シニスターミニスター,1,0,0,0
2勝クラス,ハーツクライ,0,1,0,1
2勝クラス,スズカコーズウェイ,0,0,1,0
2勝クラス,Distorted Humor,0,0,0,0
2勝クラス,Khozan,0,0,0,1
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,キンシャサノキセキ,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,1
2勝クラス,タートルボウル,0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,バトルプラン,0,0,0,1
2勝クラス,ヘニーヒューズ,0,0,0,1
2勝クラス,マジェスティックウォリアー,0,0,0,1
2勝クラス,メイショウボーラー,0,0,0,2
3勝クラス,カルストンライトオ,1,0,0,0
3勝クラス,カレンブラックヒル,0,1,0,0
3勝クラス,メイショウボーラー,0,0,1,0
3勝クラス,Haynesfield,0,0,0,1
3勝クラス,オレハマッテルゼ,0,0,0,1
3勝クラス,キングヘイロー,0,0,0,1
3勝クラス,クロフネ,0,0,0,1
3勝クラス,ゴールドアリュール,0,0,0,2
3勝クラス,サウスヴィグラス,0,0,0,1
3勝クラス,スクリーンヒーロー,0,0,0,1
3勝クラス,パイロ,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,1
3勝クラス,ヴィクトワールピサ,0,0,0,1
新馬,シニスターミニスター,1,1,0,1
新馬,ドゥラメンテ,1,0,0,0
新馬,メイショウボーラー,0,1,0,1
新馬,ホッコータルマエ,0,0,1,0
新馬,アイルハヴアナザー,0,0,0,1
新馬,アジアエクスプレス,0,0,0,1
新馬,アメリカンペイトリオット,0,0,0,1
新馬,キンシャサノキセキ,0,0,0,1
新馬,コパノリチャード,0,0,0,1
新馬,サウスヴィグラス,0,0,0,1
新馬,サトノアラジン,0,0,0,1
新馬,ショウナンカンプ,0,0,0,2
新馬,ダイワメジャー,0,0,0,1
新馬,チェリークラウン,0,0,0,1
新馬,トーセンラー,0,0,0,1
新馬,ハービンジャー,0,0,0,1
新馬,パイロ,0,0,0,1
新馬,フリオーソ,0,0,0,1
新馬,ヨハネスブルグ,0,0,0,1
新馬,ラブリーデイ,0,0,0,1
新馬,ルーラーシップ,0,0,0,1
未勝利,サウスヴィグラス,1,1,0,2
未勝利,アーネストリー,1,0,0,0
未勝利,キズナ,1,0,0,1
未勝利,ディスクリートキャット,1,0,0,0
未勝利,Into Mischief,0,1,0,1
未勝利,シニスターミニスター,0,1,0,1
未勝利,リアルインパクト,0,1,0,1
未勝利,アジアエクスプレス,0,0,1,0
未勝利,キンシャサノキセキ,0,0,1,0
未勝利,パイロ,0,0,1,2
未勝利,ルーラーシップ,0,0,1,1
未勝利,More Than Ready,0,0,0,1
未勝利,アンライバルド,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キングヘイロー,0,0,0,1
未勝利,クロフネ,0,0,0,2
未勝利,グランプリボス,0,0,0,1
未勝利,コパノリチャード,0,0,0,1
未勝利,ショウナンカンプ,0,0,0,1
未勝利,スウェプトオーヴァーボード,0,0,0,1
未勝利,タニノギムレット,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,2
未勝利,ダノンレジェンド,0,0,0,1
未勝利,ダンカーク,0,0,0,1
未勝利,トゥザグローリー,0,0,0,2
未勝利,ハーツクライ,0,0,0,1
未勝利,パドトロワ,0,0,0,1
未勝利,フェノーメノ,0,0,0,2
未勝利,ホッコータルマエ,0,0,0,2
未勝利,マクフィ,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,メイショウサムソン,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,リオンディーズ,0,0,0,2
未勝利,ロードカナロア,0,0,0,3
未勝利,ワールドエース,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
未勝利,ヴィットリオドーロ,0,0,0,1
