クラス,血統,1着,2着,3着,着外
all,ロードカナロア,1,1,2,8
all,スクリーンヒーロー,1,1,1,1
all,ジャスタウェイ,1,0,0,0
all,ディープスカイ,1,0,0,0
all,ヘニーヒューズ,1,0,0,1
all,ルーラーシップ,1,0,0,2
all,ダイワメジャー,0,1,1,3
all,ディープインパクト,0,1,1,6
all,ドリームジャーニー,0,1,0,1
all,ハーツクライ,0,1,0,2
all,オルフェーヴル,0,0,1,2
all,Medaglia d'Oro,0,0,0,1
all,Siyouni,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,アンライバルド,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エピファネイア,0,0,0,4
all,カレンブラックヒル,0,0,0,2
all,キズナ,0,0,0,4
all,キングカメハメハ,0,0,0,5
all,キングヘイロー,0,0,0,2
all,キンシャサノキセキ,0,0,0,3
all,グランデッツァ,0,0,0,1
all,グランプリボス,0,0,0,2
all,サウスヴィグラス,0,0,0,1
all,スタチューオブリバティ,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トウケイヘイロー,0,0,0,1
all,ハービンジャー,0,0,0,4
all,バトルプラン,0,0,0,1
all,フサイチセブン,0,0,0,1
all,ブラックタイド,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,ローエングリン,0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴィクトワールピサ,0,0,0,3
1勝クラス,ロードカナロア,1,0,1,2
1勝クラス,ヘニーヒューズ,1,0,0,1
1勝クラス,ルーラーシップ,1,0,0,0
1勝クラス,ディープインパクト,0,1,1,2
1勝クラス,ドリームジャーニー,0,1,0,1
1勝クラス,ハーツクライ,0,1,0,1
1勝クラス,ダイワメジャー,0,0,1,0
1勝クラス,Medaglia d'Oro,0,0,0,1
1勝クラス,Siyouni,0,0,0,1
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,アンライバルド,0,0,0,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キズナ,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,4
1勝クラス,キングヘイロー,0,0,0,2
1勝クラス,キンシャサノキセキ,0,0,0,2
1勝クラス,グランデッツァ,0,0,0,1
1勝クラス,グランプリボス,0,0,0,1
1勝クラス,サウスヴィグラス,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,トゥザワールド,0,0,0,1
1勝クラス,トウケイヘイロー,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,2
1勝クラス,バトルプラン,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,ローエングリン,0,0,0,1
1勝クラス,ワールドエース,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,2
3勝クラス,ディープスカイ,1,0,0,0
3勝クラス,ダイワメジャー,0,1,0,1
3勝クラス,オルフェーヴル,0,0,1,0
3勝クラス,エイシンフラッシュ,0,0,0,1
3勝クラス,スタチューオブリバティ,0,0,0,1
3勝クラス,ディープインパクト,0,0,0,1
3勝クラス,ハービンジャー,0,0,0,2
3勝クラス,ルーラーシップ,0,0,0,1
3勝クラス,ロードカナロア,0,0,0,1
オープン,ジャスタウェイ,1,0,0,0
オープン,ロードカナロア,0,1,0,1
オープン,スクリーンヒーロー,0,0,1,0
オープン,エイシンフラッシュ,0,0,0,1
オープン,エピファネイア,0,0,0,1
オープン,カレンブラックヒル,0,0,0,1
オープン,キズナ,0,0,0,1
オープン,キングカメハメハ,0,0,0,1
オープン,グランプリボス,0,0,0,1
オープン,ダイワメジャー,0,0,0,1
オープン,ダノンシャンティ,0,0,0,1
オープン,ディープインパクト,0,0,0,3
オープン,フサイチセブン,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
オープン,ヴィクトワールピサ,0,0,0,1
未勝利,スクリーンヒーロー,1,1,0,0
未勝利,ロードカナロア,0,0,1,4
未勝利,アドマイヤムーン,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,オルフェーヴル,0,0,0,1
未勝利,キズナ,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,トゥザグローリー,0,0,0,1
未勝利,ハーツクライ,0,0,0,1
未勝利,ワールドエース,0,0,0,1
