クラス,血統,1着,2着,3着,着外
all,ドレフォン,2,1,1,4
all,ニューイヤーズデイ,2,0,0,1
all,ルーラーシップ,1,3,1,4
all,アジアエクスプレス,1,1,0,0
all,キズナ,1,1,0,3
all,ジャスタウェイ,1,1,0,1
all,ホッコータルマエ,1,1,0,6
all,デクラレーションオブウォー,1,0,1,3
all,ヘニーヒューズ,1,0,1,7
all,Omaha Beach,1,0,0,0
all,オルフェーヴル,1,0,0,3
all,バゴ,1,0,0,2
all,リアルスティール,1,0,0,0
all,レイデオロ,1,0,0,0
all,ロードカナロア,1,0,0,0
all,リアルインパクト,0,2,1,3
all,ウィルテイクチャージ,0,1,0,0
all,キングリオ,0,1,0,0
all,ゴールドシップ,0,1,0,5
all,シュヴァルグラン,0,1,0,3
all,ダンカーク,0,1,0,4
all,モーリス,0,1,0,2
all,ワールドエース,0,1,0,3
all,シニスターミニスター,0,0,2,4
all,アニマルキングダム,0,0,1,1
all,エスケンデレヤ,0,0,1,1
all,エピカリス,0,0,1,1
all,キングカメハメハ,0,0,1,1
all,ゴールドアクター,0,0,1,1
all,ダノンレジェンド,0,0,1,1
all,ハーツクライ,0,0,1,2
all,マジェスティックウォリアー,0,0,1,4
all,モーニン,0,0,1,3
all,ラニ,0,0,1,1
all,Constitution,0,0,0,1
all,Mendelssohn,0,0,0,1
all,Ribchester,0,0,0,1
all,Saxon Warrior,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
all,アポロキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,3
all,アルアイン,0,0,0,1
all,イスラボニータ,0,0,0,5
all,インカンテーション,0,0,0,1
all,エイシンヒカリ,0,0,0,3
all,エスポワールシチー,0,0,0,1
all,エピファネイア,0,0,0,1
all,オンファイア,0,0,0,1
all,カキツバタロイヤル,0,0,0,1
all,カネヒキリ,0,0,0,3
all,カリフォルニアクローム,0,0,0,3
all,カレンブラックヒル,0,0,0,2
all,キンシャサノキセキ,0,0,0,4
all,クリエイター,0,0,0,2
all,コパノリッキー,0,0,0,6
all,サトノアラジン,0,0,0,2
all,サトノアレス,0,0,0,1
all,サトノクラウン,0,0,0,1
all,サンダースノー,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,シルバーステート,0,0,0,3
all,シンボリクリスエス,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,1
all,タイセイレジェンド,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ダノンバラード,0,0,0,3
all,チェリークラウン,0,0,0,1
all,ディープインパクト,0,0,0,1
all,ディープスカイ,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,トビーズコーナー,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ハービンジャー,0,0,0,1
all,パイロ,0,0,0,3
all,ビーチパトロール,0,0,0,2
all,フェノーメノ,0,0,0,2
all,フリオーソ,0,0,0,1
all,ブラックタイド,0,0,0,2
all,ブリックスアンドモルタル,0,0,0,4
all,プリサイスエンド,0,0,0,1
all,ベストウォーリア,0,0,0,1
all,ホークビル,0,0,0,1
all,マインドユアビスケッツ,0,0,0,3
all,マクフィ,0,0,0,1
all,マクマホン,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ミッキーロケット,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,モンテロッソ,0,0,0,1
all,ヤングマンパワー,0,0,0,1
all,ユアーズトゥルーリ,0,0,0,1
all,リオンディーズ,0,0,0,3
all,ロゴタイプ,0,0,0,3
all,ロジャーバローズ,0,0,0,6
all,ロージズインメイ,0,0,0,1
all,ワンアンドオンリー,0,0,0,1
all,ヴァンキッシュラン,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ルーラーシップ,1,1,0,1
1勝クラス,デクラレーションオブウォー,1,0,0,0
1勝クラス,ホッコータルマエ,1,0,0,2
1勝クラス,ゴールドシップ,0,1,0,2
1勝クラス,ドレフォン,0,1,0,0
1勝クラス,シニスターミニスター,0,0,2,1
1勝クラス,ラニ,0,0,1,0
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,エイシンヒカリ,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,コパノリッキー,0,0,0,1
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,サンダースノー,0,0,0,1
1勝クラス,シルバーステート,0,0,0,2
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,スピルバーグ,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,2
1勝クラス,チェリークラウン,0,0,0,1
1勝クラス,ディーマジェスティ,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,パイロ,0,0,0,2
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,3
1勝クラス,マクフィ,0,0,0,1
1勝クラス,マジェスティックウォリアー,0,0,0,1
1勝クラス,モンテロッソ,0,0,0,1
1勝クラス,モーニン,0,0,0,1
1勝クラス,モーリス,0,0,0,1
1勝クラス,ヤングマンパワー,0,0,0,1
1勝クラス,リアルインパクト,0,0,0,1
1勝クラス,ロゴタイプ,0,0,0,1
2勝クラス,アジアエクスプレス,1,1,0,0
2勝クラス,ジャスタウェイ,1,1,0,0
