クラス,血統,1着,2着,3着,着外
all,エピファネイア,2,0,0,0
all,ディープインパクト,1,1,2,21
all,ダンカーク,1,1,0,0
all,ロードカナロア,1,0,1,1
all,ゼンノロブロイ,1,0,0,1
all,ダノンシャンティ,1,0,0,0
all,トーセンホマレボシ,1,0,0,1
all,バゴ,1,0,0,0
all,ワークフォース,0,2,0,1
all,ゴールドシップ,0,1,0,1
all,ジャングルポケット,0,1,0,3
all,ダイワメジャー,0,1,0,0
all,ディープブリランテ,0,1,0,3
all,ヴィクトワールピサ,0,1,0,2
all,ルーラーシップ,0,0,2,7
all,キズナ,0,0,1,0
all,ステイゴールド,0,0,1,5
all,ハーツクライ,0,0,1,4
all,ハービンジャー,0,0,1,4
all,Frankel,0,0,0,1
all,Haynesfield,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
all,アドマイヤムーン,0,0,0,2
all,オルフェーヴル,0,0,0,5
all,キングカメハメハ,0,0,0,4
all,キングズベスト,0,0,0,1
all,グラスワンダー,0,0,0,1
all,ケープブランコ,0,0,0,1
all,サマーバード,0,0,0,1
all,サムライハート,0,0,0,2
all,シンボリクリスエス,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,スズカマンボ,0,0,0,1
all,タートルボウル,0,0,0,1
all,ナカヤマフェスタ,0,0,0,2
all,ネオユニヴァース,0,0,0,3
all,ノヴェリスト,0,0,0,1
all,ブレイクランアウト,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,メイショウサムソン,0,0,0,1
all,ロジユニヴァース,0,0,0,1
1勝クラス,エピファネイア,1,0,0,0
1勝クラス,ジャングルポケット,0,1,0,1
1勝クラス,キズナ,0,0,1,0
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,キングズベスト,0,0,0,1
1勝クラス,サムライハート,0,0,0,1
1勝クラス,タートルボウル,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,ヴィクトワールピサ,0,0,0,2
2勝クラス,ダンカーク,1,1,0,0
2勝クラス,エピファネイア,1,0,0,0
2勝クラス,ディープインパクト,1,0,0,10
2勝クラス,ロードカナロア,1,0,0,1
2勝クラス,ワークフォース,0,2,0,1
2勝クラス,ダイワメジャー,0,1,0,0
2勝クラス,ルーラーシップ,0,0,2,0
2勝クラス,ハーツクライ,0,0,1,1
2勝クラス,ハービンジャー,0,0,1,2
2勝クラス,Haynesfield,0,0,0,1
2勝クラス,アイルハヴアナザー,0,0,0,2
2勝クラス,アドマイヤムーン,0,0,0,2
2勝クラス,オルフェーヴル,0,0,0,1
2勝クラス,グラスワンダー,0,0,0,1
2勝クラス,ケープブランコ,0,0,0,1
2勝クラス,ゴールドシップ,0,0,0,1
2勝クラス,サマーバード,0,0,0,1
2勝クラス,サムライハート,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,1
2勝クラス,ジャングルポケット,0,0,0,2
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,ネオユニヴァース,0,0,0,3
2勝クラス,ノヴェリスト,0,0,0,1
2勝クラス,ブレイクランアウト,0,0,0,1
2勝クラス,ロジユニヴァース,0,0,0,1
3勝クラス,ゼンノロブロイ,1,0,0,0
3勝クラス,ダノンシャンティ,1,0,0,0
3勝クラス,ゴールドシップ,0,1,0,0
3勝クラス,ヴィクトワールピサ,0,1,0,0
3勝クラス,ディープインパクト,0,0,1,5
3勝クラス,ロードカナロア,0,0,1,0
3勝クラス,キングカメハメハ,0,0,0,3
3勝クラス,スクリーンヒーロー,0,0,0,1
3勝クラス,スズカマンボ,0,0,0,1
3勝クラス,ステイゴールド,0,0,0,2
3勝クラス,ディープブリランテ,0,0,0,1
3勝クラス,トーセンホマレボシ,0,0,0,1
3勝クラス,ハーツクライ,0,0,0,1
3勝クラス,メイショウサムソン,0,0,0,1
3勝クラス,ルーラーシップ,0,0,0,4
オープン,トーセンホマレボシ,1,0,0,0
オープン,バゴ,1,0,0,0
オープン,ディープインパクト,0,1,1,5
オープン,ディープブリランテ,0,1,0,1
オープン,ステイゴールド,0,0,1,3
オープン,Frankel,0,0,0,1
オープン,オルフェーヴル,0,0,0,3
オープン,キングカメハメハ,0,0,0,1
オープン,シンボリクリスエス,0,0,0,1
オープン,ゼンノロブロイ,0,0,0,1
オープン,ナカヤマフェスタ,0,0,0,2
オープン,ハーツクライ,0,0,0,2
オープン,ハービンジャー,0,0,0,1
オープン,マンハッタンカフェ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
