クラス,血統,1着,2着,3着,着外
all,エスケンデレヤ,1,0,0,0
all,ディープインパクト,1,0,0,1
all,パイロ,1,0,0,0
all,ワンアンドオンリー,1,0,0,0
all,ヴィクトワールピサ,1,0,0,1
all,ディスクリートキャット,0,1,1,1
all,クロフネ,0,1,0,0
all,ステイゴールド,0,1,0,0
all,ストロングリターン,0,1,0,2
all,ドレフォン,0,1,0,0
all,Galileo,0,0,1,0
all,ゴールドシップ,0,0,1,1
all,シルバーステート,0,0,1,0
all,ブラックタイド,0,0,1,1
all,Speightstown,0,0,0,0
all,アイファーソング,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,オウケンブルースリ,0,0,0,1
all,カネヒキリ,0,0,0,0
all,カレンブラックヒル,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サトノアラジン,0,0,0,1
all,シニスターミニスター,0,0,0,2
all,ダイワメジャー,0,0,0,1
all,ディープブリランテ,0,0,0,2
all,ドゥラメンテ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,バトルプラン,0,0,0,1
all,フェノーメノ,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,メイショウサムソン,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ローエングリン,0,0,0,1
未勝利,エスケンデレヤ,1,0,0,0
未勝利,ディープインパクト,1,0,0,1
未勝利,パイロ,1,0,0,0
未勝利,ワンアンドオンリー,1,0,0,0
未勝利,ヴィクトワールピサ,1,0,0,1
未勝利,ディスクリートキャット,0,1,1,1
未勝利,クロフネ,0,1,0,0
未勝利,ステイゴールド,0,1,0,0
未勝利,ストロングリターン,0,1,0,2
未勝利,ドレフォン,0,1,0,0
未勝利,Galileo,0,0,1,0
未勝利,ゴールドシップ,0,0,1,1
未勝利,シルバーステート,0,0,1,0
未勝利,ブラックタイド,0,0,1,1
未勝利,Speightstown,0,0,0,0
未勝利,アイファーソング,0,0,0,1
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,オウケンブルースリ,0,0,0,1
未勝利,カネヒキリ,0,0,0,0
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,サトノアラジン,0,0,0,1
未勝利,シニスターミニスター,0,0,0,2
未勝利,ダイワメジャー,0,0,0,1
未勝利,ディープブリランテ,0,0,0,2
未勝利,ドゥラメンテ,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,バトルプラン,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,1
未勝利,メイショウサムソン,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,リーチザクラウン,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
未勝利,ローエングリン,0,0,0,1
