クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,3,3,4,9
all,ハービンジャー,3,3,1,13
all,キタサンブラック,3,1,1,9
all,ディープインパクト,2,2,1,10
all,グレーターロンドン,2,1,0,3
all,ドレフォン,2,0,1,0
all,ハーツクライ,1,2,4,16
all,ルーラーシップ,1,2,2,9
all,キングカメハメハ,1,2,1,9
all,エピファネイア,1,0,1,5
all,サトノクラウン,1,0,0,2
all,ネロ,1,0,0,1
all,モーリス,1,0,0,6
all,キズナ,0,3,2,9
all,エキストラエンド,0,1,0,0
all,ローズキングダム,0,1,0,1
all,ロードカナロア,0,1,0,6
all,シルバーステート,0,0,1,5
all,ノヴェリスト,0,0,1,0
all,フェノーメノ,0,0,1,1
all,リオンディーズ,0,0,1,0
all,Kingman,0,0,0,1
all,Manduro,0,0,0,1
all,アメリカンペイトリオット,0,0,0,2
all,イスラボニータ,0,0,0,2
all,エイシンフラッシュ,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,オルフェーヴル,0,0,0,7
all,キングヘイロー,0,0,0,1
all,クリエイター,0,0,0,1
all,クロフネ,0,0,0,1
all,グランプリボス,0,0,0,1
all,ケープブランコ,0,0,0,2
all,ゴールドアクター,0,0,0,1
all,ゴールドシップ,0,0,0,21
all,サトノアラジン,0,0,0,1
all,サトノダイヤモンド,0,0,0,7
all,シャンハイボビー,0,0,0,1
all,ジャスタウェイ,0,0,0,3
all,ジョーカプチーノ,0,0,0,0
all,スクリーンヒーロー,0,0,0,2
all,ダノンバラード,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トーセンラー,0,0,0,6
all,トーホウジャッカル,0,0,0,1
all,ナカヤマフェスタ,0,0,0,3
all,バゴ,0,0,0,2
all,バトルプラン,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,ブラックタイド,0,0,0,4
all,ホッコータルマエ,0,0,0,1
all,マインドユアビスケッツ,0,0,0,2
all,マクフィ,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,ミッキーロケット,0,0,0,2
all,メイショウサムソン,0,0,0,1
all,ラブリーデイ,0,0,0,3
all,リアルスティール,0,0,0,5
all,リーチザクラウン,0,0,0,1
all,ロゴタイプ,0,0,0,1
all,ロージズインメイ,0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,2
1勝クラス,ドゥラメンテ,1,2,0,3
1勝クラス,キタサンブラック,1,0,0,1
1勝クラス,グレーターロンドン,1,0,0,0
1勝クラス,ドレフォン,1,0,0,0
1勝クラス,ハービンジャー,1,0,0,4
1勝クラス,モーリス,1,0,0,0
1勝クラス,ディープインパクト,0,2,1,1
1勝クラス,キズナ,0,2,0,2
1勝クラス,エピファネイア,0,0,1,2
1勝クラス,キングカメハメハ,0,0,1,1
1勝クラス,ノヴェリスト,0,0,1,0
1勝クラス,ハーツクライ,0,0,1,4
1勝クラス,リオンディーズ,0,0,1,0
1勝クラス,オルフェーヴル,0,0,0,3
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,サトノクラウン,0,0,0,2
1勝クラス,サトノダイヤモンド,0,0,0,3
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,0
1勝クラス,トーホウジャッカル,0,0,0,1
1勝クラス,ナカヤマフェスタ,0,0,0,2
1勝クラス,ブラックタイド,0,0,0,2
1勝クラス,マクフィ,0,0,0,1
1勝クラス,マツリダゴッホ,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,ワールドエース,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
2勝クラス,ディープインパクト,2,0,0,3
2勝クラス,ハービンジャー,1,2,1,0
2勝クラス,ルーラーシップ,1,1,1,2
2勝クラス,ドレフォン,1,0,0,0
2勝クラス,キングカメハメハ,0,1,0,3
2勝クラス,ロードカナロア,0,1,0,1
2勝クラス,キズナ,0,0,1,0
2勝クラス,ハーツクライ,0,0,1,1
2勝クラス,フェノーメノ,0,0,1,1
2勝クラス,アメリカンペイトリオット,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,キタサンブラック,0,0,0,2
2勝クラス,クロフネ,0,0,0,1
2勝クラス,グランプリボス,0,0,0,1
2勝クラス,ゴールドシップ,0,0,0,8
2勝クラス,トーセンラー,0,0,0,1
2勝クラス,ドゥラメンテ,0,0,0,2
2勝クラス,バトルプラン,0,0,0,1
2勝クラス,ホッコータルマエ,0,0,0,1
2勝クラス,モーリス,0,0,0,2
2勝クラス,リーチザクラウン,0,0,0,1
3勝クラス,キングカメハメハ,1,1,0,5
3勝クラス,ドゥラメンテ,1,0,1,0
3勝クラス,ハービンジャー,1,0,0,2
3勝クラス,ルーラーシップ,0,1,0,2
3勝クラス,ローズキングダム,0,1,0,0
3勝クラス,ドレフォン,0,0,1,0
3勝クラス,ハーツクライ,0,0,1,1
3勝クラス,エピファネイア,0,0,0,1
3勝クラス,オルフェーヴル,0,0,0,1
3勝クラス,キズナ,0,0,0,1
3勝クラス,キングヘイロー,0,0,0,1
3勝クラス,ケープブランコ,0,0,0,2
3勝クラス,ゴールドシップ,0,0,0,6
3勝クラス,ディープインパクト,0,0,0,5
3勝クラス,トーセンラー,0,0,0,3
3勝クラス,ナカヤマフェスタ,0,0,0,1
3勝クラス,ブラックタイド,0,0,0,2
3勝クラス,メイショウサムソン,0,0,0,1
3勝クラス,ラブリーデイ,0,0,0,1
3勝クラス,ロードカナロア,0,0,0,1
3勝クラス,ワールドエース,0,0,0,1
3勝クラス,ヴァンセンヌ,0,0,0,1
オープン,キタサンブラック,2,1,0,5
オープン,ドゥラメンテ,1,1,2,2
オープン,サトノクラウン,1,0,0,0
オープン,ハーツクライ,0,2,1,5
オープン,キズナ,0,0,1,6
オープン,Kingman,0,0,0,1
オープン,Manduro,0,0,0,1
オープン,エイシンフラッシュ,0,0,0,1
オープン,エスポワールシチー,0,0,0,1
オープン,エピファネイア,0,0,0,1
オープン,ゴールドシップ,0,0,0,3
オープン,サトノダイヤモンド,0,0,0,2
オープン,シルバーステート,0,0,0,4
オープン,ダノンバラード,0,0,0,1
オープン,ディープインパクト,0,0,0,1
オープン,デクラレーションオブウォー,0,0,0,1
オープン,ネロ,0,0,0,1
オープン,ハービンジャー,0,0,0,4
オープン,マインドユアビスケッツ,0,0,0,2
オープン,ミッキーロケット,0,0,0,2
オープン,モーリス,0,0,0,3
オープン,ラブリーデイ,0,0,0,1
オープン,リアルスティール,0,0,0,1
オープン,ルーラーシップ,0,0,0,2
オープン,ローズキングダム,0,0,0,1
オープン,ロードカナロア,0,0,0,3
オープン,ヴィクトワールピサ,0,0,0,1
未勝利,グレーターロンドン,1,1,0,3
未勝利,エピファネイア,1,0,0,0
未勝利,ネロ,1,0,0,0
未勝利,ハーツクライ,1,0,0,5
未勝利,エキストラエンド,0,1,0,0
未勝利,キズナ,0,1,0,0
未勝利,ハービンジャー,0,1,0,3
未勝利,キタサンブラック,0,0,1,1
未勝利,シルバーステート,0,0,1,0
未勝利,ドゥラメンテ,0,0,1,2
未勝利,ルーラーシップ,0,0,1,1
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,イスラボニータ,0,0,0,2
未勝利,オルフェーヴル,0,0,0,3
未勝利,クリエイター,0,0,0,1
未勝利,ゴールドアクター,0,0,0,1
未勝利,ゴールドシップ,0,0,0,3
未勝利,サトノダイヤモンド,0,0,0,2
未勝利,シャンハイボビー,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,2
未勝利,スクリーンヒーロー,0,0,0,2
未勝利,ディスクリートキャット,0,0,0,1
未勝利,トーセンラー,0,0,0,2
未勝利,バゴ,0,0,0,2
未勝利,ビーチパトロール,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リアルスティール,0,0,0,4
未勝利,ロゴタイプ,0,0,0,1
未勝利,ロージズインメイ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
