クラス,血統,1着,2着,3着,着外
all,Iffraaj,1,0,0,1
all,ダノンバラード,1,0,0,0
all,ニューイヤーズデイ,1,0,0,0
all,バトルプラン,1,0,0,0
all,モーリス,1,0,0,2
all,Capitalist,0,1,0,0
all,ドレフォン,0,1,0,0
all,ミッキーアイル,0,1,0,1
all,ロゴタイプ,0,1,0,0
all,ヴィクトワールピサ,0,1,0,1
all,ダイワメジャー,0,0,2,2
all,Harry Angel,0,0,1,0
all,サトノクラウン,0,0,1,2
all,トーセンラー,0,0,1,2
all,Blue Point,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,Make Believe,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アルアイン,0,0,0,1
all,アルデバラン,0,0,0,1
all,イスラボニータ,0,0,0,2
all,エイシンヒカリ,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,カリフォルニアクローム,0,0,0,1
all,キズナ,0,0,0,2
all,キタサンブラック,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,サトノダイヤモンド,0,0,0,3
all,サンダースノー,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,シュヴァルグラン,0,0,0,1
all,シルバーステート,0,0,0,3
all,シルポート,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スクリーンヒーロー,0,0,0,2
all,ストロングリターン,0,0,0,1
all,スノードラゴン,0,0,0,1
all,スワーヴリチャード,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,ネロ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハクサンムーン,0,0,0,1
all,ハービンジャー,0,0,0,2
all,バゴ,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ファインニードル,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,ヘンリーバローズ,0,0,0,1
all,ホークビル,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,マクフィ,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,リアルスティール,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,レッドファルクス,0,0,0,3
all,ロードカナロア,0,0,0,3
all,ローレルゲレイロ,0,0,0,1
all,ワールドエース,0,0,0,2
1勝クラス,ダノンバラード,1,0,0,0
1勝クラス,ロゴタイプ,0,1,0,0
1勝クラス,サトノクラウン,0,0,1,1
1勝クラス,Kitten's Joy,0,0,0,1
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,キタサンブラック,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,シルポート,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
1勝クラス,レッドファルクス,0,0,0,1
新馬,モーリス,1,0,0,1
新馬,Capitalist,0,1,0,0
新馬,ダイワメジャー,0,0,1,0
新馬,イスラボニータ,0,0,0,2
新馬,エイシンヒカリ,0,0,0,1
新馬,オルフェーヴル,0,0,0,1
新馬,サトノダイヤモンド,0,0,0,1
新馬,スワーヴリチャード,0,0,0,1
新馬,デクラレーションオブウォー,0,0,0,1
新馬,ノヴェリスト,0,0,0,1
新馬,ハービンジャー,0,0,0,1
新馬,ファインニードル,0,0,0,1
新馬,ミッキーアイル,0,0,0,1
新馬,メイショウボーラー,0,0,0,1
新馬,レッドファルクス,0,0,0,2
未勝利,Iffraaj,1,0,0,1
未勝利,ニューイヤーズデイ,1,0,0,0
未勝利,バトルプラン,1,0,0,0
未勝利,ドレフォン,0,1,0,0
未勝利,ミッキーアイル,0,1,0,0
未勝利,ヴィクトワールピサ,0,1,0,1
未勝利,Harry Angel,0,0,1,0
未勝利,ダイワメジャー,0,0,1,2
未勝利,トーセンラー,0,0,1,2
未勝利,Blue Point,0,0,0,1
未勝利,Make Believe,0,0,0,1
未勝利,アルアイン,0,0,0,1
未勝利,アルデバラン,0,0,0,1
未勝利,カリフォルニアクローム,0,0,0,1
未勝利,キズナ,0,0,0,2
未勝利,キンシャサノキセキ,0,0,0,2
未勝利,サトノクラウン,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,サンダースノー,0,0,0,1
未勝利,シャンハイボビー,0,0,0,1
未勝利,シュヴァルグラン,0,0,0,1
未勝利,シルバーステート,0,0,0,3
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,スノードラゴン,0,0,0,1
未勝利,ネロ,0,0,0,1
未勝利,ハクサンムーン,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,バゴ,0,0,0,1
未勝利,ビッグアーサー,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,1
未勝利,ヘンリーバローズ,0,0,0,1
未勝利,ホークビル,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
未勝利,マクフィ,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
未勝利,ロードカナロア,0,0,0,3
未勝利,ローレルゲレイロ,0,0,0,1
未勝利,ワールドエース,0,0,0,2
