クラス,血統,1着,2着,3着,着外
all,ディープインパクト,1,2,1,9
all,オルフェーヴル,1,1,1,1
all,ルーラーシップ,1,1,0,5
all,キズナ,1,0,1,4
all,エピファネイア,1,0,0,5
all,キングカメハメハ,1,0,0,2
all,ケープブランコ,1,0,0,0
all,サムライハート,1,0,0,1
all,フェノーメノ,1,0,0,0
all,ハービンジャー,0,1,1,2
all,キングヘイロー,0,1,0,0
all,ナカヤマフェスタ,0,1,0,0
all,モーリス,0,1,0,2
all,ヴィクトワールピサ,0,1,0,4
all,ゴールドシップ,0,0,1,2
all,ジャングルポケット,0,0,1,2
all,スクリーンヒーロー,0,0,1,3
all,スピルバーグ,0,0,1,2
all,ハーツクライ,0,0,1,7
all,Arrogate,0,0,0,1
all,New Bay,0,0,0,1
all,Postponed,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,3
all,エスケンデレヤ,0,0,0,1
all,カゼノグッドボーイ,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,ジャスタウェイ,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,ストロングリターン,0,0,0,1
all,タニノギムレット,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ダンカーク,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トーセンラー,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,バゴ,0,0,0,1
all,ヒルノダムール,0,0,0,1
all,ブラックタイド,0,0,0,2
all,ヘニーヒューズ,0,0,0,1
all,リオンディーズ,0,0,0,3
all,リーチザクラウン,0,0,0,1
all,ロードカナロア,0,0,0,3
1勝クラス,キズナ,1,0,1,1
1勝クラス,ケープブランコ,1,0,0,0
1勝クラス,サムライハート,1,0,0,0
1勝クラス,オルフェーヴル,0,1,0,1
1勝クラス,ディープインパクト,0,1,0,7
1勝クラス,ヴィクトワールピサ,0,1,0,0
1勝クラス,スクリーンヒーロー,0,0,1,1
1勝クラス,ハービンジャー,0,0,1,1
1勝クラス,エピファネイア,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,スピルバーグ,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ドリームジャーニー,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,2
1勝クラス,モーリス,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
2勝クラス,フェノーメノ,1,0,0,0
2勝クラス,ディープインパクト,0,1,1,0
2勝クラス,エスケンデレヤ,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,サムライハート,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,1
2勝クラス,ストロングリターン,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,ヒルノダムール,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
新馬,ディープインパクト,1,0,0,1
新馬,ハービンジャー,0,1,0,0
新馬,オルフェーヴル,0,0,1,0
新馬,Arrogate,0,0,0,1
新馬,Postponed,0,0,0,1
新馬,キズナ,0,0,0,1
新馬,ジャスタウェイ,0,0,0,1
新馬,ブラックタイド,0,0,0,1
新馬,リオンディーズ,0,0,0,1
未勝利,ルーラーシップ,1,1,0,4
未勝利,エピファネイア,1,0,0,2
未勝利,オルフェーヴル,1,0,0,0
未勝利,キングカメハメハ,1,0,0,0
未勝利,キングヘイロー,0,1,0,0
未勝利,ナカヤマフェスタ,0,1,0,0
未勝利,モーリス,0,1,0,1
未勝利,ゴールドシップ,0,0,1,2
未勝利,ジャングルポケット,0,0,1,2
未勝利,スピルバーグ,0,0,1,1
未勝利,ハーツクライ,0,0,1,4
未勝利,New Bay,0,0,0,1
未勝利,エイシンヒカリ,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,3
未勝利,カゼノグッドボーイ,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キズナ,0,0,0,2
未勝利,ジョーカプチーノ,0,0,0,1
未勝利,スウェプトオーヴァーボード,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,2
未勝利,タニノギムレット,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ドゥラメンテ,0,0,0,1
未勝利,ネオユニヴァース,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,バゴ,0,0,0,1
未勝利,ブラックタイド,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,リオンディーズ,0,0,0,2
未勝利,リーチザクラウン,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,4
