クラス,血統,1着,2着,3着,着外
all,ゴールドアリュール,3,1,1,6
all,キングカメハメハ,3,0,0,5
all,エンパイアメーカー,2,1,1,6
all,オルフェーヴル,2,1,1,13
all,エスポワールシチー,2,0,0,4
all,トーセンジョーダン,2,0,0,1
all,リーチザクラウン,2,0,0,2
all,ハーツクライ,1,3,2,11
all,ジャスタウェイ,1,2,2,8
all,ゼンノロブロイ,1,2,0,8
all,ロージズインメイ,1,2,0,2
all,ヘニーヒューズ,1,1,1,11
all,エイシンフラッシュ,1,1,0,5
all,ダイワメジャー,1,1,0,4
all,トゥザグローリー,1,1,0,3
all,ブラックタイド,1,1,0,8
all,キンシャサノキセキ,1,0,1,9
all,タイキシャトル,1,0,1,3
all,アドマイヤマックス,1,0,0,1
all,シビルウォー,1,0,0,1
all,ステイゴールド,1,0,0,3
all,タイムパラドックス,1,0,0,10
all,トランセンド,1,0,0,6
all,ドリームジャーニー,1,0,0,1
all,ハービンジャー,1,0,0,10
all,ワイルドワンダー,1,0,0,0
all,ストーミングホーム,0,2,1,0
all,オリオンザサンクス,0,2,0,0
all,ルーラーシップ,0,1,3,16
all,クロフネ,0,1,1,7
all,パイロ,0,1,1,1
all,メイショウサムソン,0,1,1,1
all,ロードカナロア,0,1,1,8
all,Union Rags,0,1,0,0
all,サムライハート,0,1,0,2
all,ストリートセンス,0,1,0,1
all,タニノギムレット,0,1,0,2
all,ディープスカイ,0,1,0,1
all,ネオユニヴァース,0,1,0,1
all,フェノーメノ,0,1,0,0
all,ヨハネスブルグ,0,1,0,0
all,ヴィクトワールピサ,0,1,0,6
all,カネヒキリ,0,0,2,10
all,ケープブランコ,0,0,2,4
all,ジャングルポケット,0,0,2,3
all,Cairo Prince,0,0,1,1
all,キングズベスト,0,0,1,1
all,キングヘイロー,0,0,1,2
all,ストロングリターン,0,0,1,4
all,スマートファルコン,0,0,1,4
all,ダンカーク,0,0,1,5
all,ディープブリランテ,0,0,1,3
all,ハードスパン,0,0,1,0
all,ホワイトマズル,0,0,1,3
all,ロジユニヴァース,0,0,1,0
all,ワークフォース,0,0,1,13
all,Cape Cross,0,0,0,1
all,Curlin,0,0,0,1
all,Discreetly Mine,0,0,0,1
all,Hansen,0,0,0,1
all,Lemon Drop Kid,0,0,0,1
all,Medaglia d'Oro,0,0,0,1
all,Oasis Dream,0,0,0,1
all,Tapit,0,0,0,2
all,Uncle Mo,0,0,0,1
all,アイルハヴアナザー,0,0,0,6
all,アグネスデジタル,0,0,0,3
all,アサクサキングス,0,0,0,1
all,アッミラーレ,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アポロキングダム,0,0,0,1
all,アポロソニック,0,0,0,1
all,アルデバラン,0,0,0,1
all,カジノドライヴ,0,0,0,3
all,カリズマティック,0,0,0,1
all,グランプリボス,0,0,0,1
all,ケイムホーム,0,0,0,2
all,ゴスホークケン,0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サウスヴィグラス,0,0,0,3
all,シニスターミニスター,0,0,0,11
all,シンボリクリスエス,0,0,0,9
all,スウィフトカレント,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,スクリーンヒーロー,0,0,0,6
all,スズカマンボ,0,0,0,3
all,スパイキュール,0,0,0,1
all,スペシャルウィーク,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダノンバラード,0,0,0,1
all,チチカステナンゴ,0,0,0,1
all,テイエムオペラオー,0,0,0,1
all,ディープインパクト,0,0,0,2
all,トビーズコーナー,0,0,0,0
all,トーセンホマレボシ,0,0,0,3
all,トーセンラー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,2
all,ニューイングランド,0,0,0,1
all,ノボジャック,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ノーブルミッション,0,0,0,1
all,バゴ,0,0,0,1
all,バトルプラン,0,0,0,4
all,バーディバーディ,0,0,0,2
all,ファルブラヴ,0,0,0,1
all,フリオーソ,0,0,0,3
all,フレンチデピュティ,0,0,0,1
all,プリサイスエンド,0,0,0,2
all,ベルシャザール,0,0,0,11
all,ベーカバド,0,0,0,0
all,マツリダゴッホ,0,0,0,1
all,マンハッタンカフェ,0,0,0,2
all,メイショウボーラー,0,0,0,2
all,メジロダイボサツ,0,0,0,0
all,モンテロッソ,0,0,0,3
all,ヤマニンセラフィム,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,ローエングリン,0,0,0,2
all,ローズキングダム,0,0,0,5
