クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,7,3,6,33
all,キンシャサノキセキ,6,4,1,36
all,クロフネ,4,5,3,22
all,オルフェーヴル,4,2,3,9
all,ゴールドアリュール,3,5,4,34
all,メイショウボーラー,3,5,1,22
all,ロードカナロア,2,3,2,17
all,アイルハヴアナザー,2,2,1,15
all,ルーラーシップ,2,1,1,14
all,ディープブリランテ,2,1,0,5
all,バゴ,2,1,0,3
all,サウスヴィグラス,2,0,3,17
all,シニスターミニスター,2,0,3,19
all,エンパイアメーカー,1,2,0,27
all,アグネスデジタル,1,1,1,4
all,スクリーンヒーロー,1,1,1,12
all,ナカヤマフェスタ,1,1,1,3
all,ウィルテイクチャージ,1,1,0,1
all,カレンブラックヒル,1,1,0,6
all,スウェプトオーヴァーボード,1,1,0,5
all,ディープスカイ,1,1,0,3
all,トビーズコーナー,1,1,0,3
all,マツリダゴッホ,1,1,0,4
all,ダイワメジャー,1,0,2,17
all,キングズベスト,1,0,1,6
all,Medaglia d'Oro,1,0,0,2
all,Speightstown,1,0,0,0
all,アドマイヤオーラ,1,0,0,1
all,カネヒキリ,1,0,0,4
all,キモンノカシワ,1,0,0,1
all,ゴールドシップ,1,0,0,1
all,ストリートセンス,1,0,0,5
all,タニノギムレット,1,0,0,2
all,ダイシンオレンジ,1,0,0,0
all,ダンカーク,1,0,0,5
all,マジェスティックウォリアー,1,0,0,2
all,メイショウサムソン,1,0,0,11
all,リーチザクラウン,1,0,0,3
all,ローズキングダム,1,0,0,1
all,ワイルドラッシュ,1,0,0,6
all,ヴァーミリアン,1,0,0,3
all,ヨハネスブルグ,0,5,3,10
all,ディープインパクト,0,3,0,10
all,パイロ,0,2,2,21
all,タートルボウル,0,2,1,11
all,マンハッタンカフェ,0,2,0,6
all,ハーツクライ,0,1,3,11
all,エイシンフラッシュ,0,1,2,2
all,ネオユニヴァース,0,1,2,12
all,Flatter,0,1,1,0
all,Tiznow,0,1,1,2
all,サンライズペガサス,0,1,1,1
all,ノヴェリスト,0,1,1,5
all,Curlin,0,1,0,0
all,キズナ,0,1,0,2
all,キングカメハメハ,0,1,0,12
all,ケープブランコ,0,1,0,11
all,ベーカバド,0,1,0,7
all,スマートファルコン,0,0,3,10
all,ダノンシャンティ,0,0,2,4
all,Cairo Prince,0,0,1,1
all,Jimmy Creed,0,0,1,0
all,Olympic Glory,0,0,1,1
all,Pivotal,0,0,1,2
all,Uncle Mo,0,0,1,0
all,オレハマッテルゼ,0,0,1,1
all,カジノドライヴ,0,0,1,12
all,キングヘイロー,0,0,1,9
all,ゴールドヘイロー,0,0,1,4
all,スタチューオブリバティ,0,0,1,0
all,トーセンジョーダン,0,0,1,5
all,バトルプラン,0,0,1,3
all,ブラックタイド,0,0,1,8
all,Adios Charlie,0,0,0,1
all,American Pharoah,0,0,0,1
all,Archarcharch,0,0,0,1
all,Central Banker,0,0,0,1
all,Congrats,0,0,0,1
all,Exchange Rate,0,0,0,2
all,Fusaichi Pegasus,0,0,0,1
all,Liaison,0,0,0,1
all,Malibu Moon,0,0,0,1
all,Midnight Lute,0,0,0,1
all,Mizzen Mast,0,0,0,1
all,Orb,0,0,0,1
all,Pioneerof the Nile,0,0,0,2
all,Roman Ruler,0,0,0,2
all,Tale of the Cat,0,0,0,1
all,Tapit,0,0,0,1
all,Temple City,0,0,0,1
all,Tiz Wonderful,0,0,0,1
all,Violence,0,0,0,1
all,Zoffany,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アドマイヤコジーン,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アポロキングダム,0,0,0,2
all,アルデバラン,0,0,0,2
all,ウォーエンブレム,0,0,0,1
all,ウォーターリーグ,0,0,0,1
all,エスケンデレヤ,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,エーシンモアオバー,0,0,0,1
all,キャプテントゥーレ,0,0,0,4
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,7
all,ケイムホーム,0,0,0,1
all,コンデュイット,0,0,0,2
all,サウンドボルケーノ,0,0,0,1
all,サダムパテック,0,0,0,1
all,サマーバード,0,0,0,5
all,サムライハート,0,0,0,3
all,シャンハイボビー,0,0,0,1
all,ショウナンカンプ,0,0,0,8
all,シルポート,0,0,0,1
all,シンボリクリスエス,0,0,0,11
all,ジャスタウェイ,0,0,0,9
all,ジャングルポケット,0,0,0,3
all,スウィフトカレント,0,0,0,1
all,スズカマンボ,0,0,0,2
all,ステイゴールド,0,0,0,2
all,ストラヴィンスキー,0,0,0,0
all,ストロングリターン,0,0,0,4
all,ストーミングホーム,0,0,0,5
all,スペシャルウィーク,0,0,0,1
all,セレスハント,0,0,0,2
all,ゼンノロブロイ,0,0,0,8
all,タイキシャトル,0,0,0,3
all,タイセイレジェンド,0,0,0,1
all,タイムパラドックス,0,0,0,5
all,ダノンゴーゴー,0,0,0,1
all,テイエムオペラオー,0,0,0,1
all,ディスクリートキャット,0,0,0,2
all,トゥザグローリー,0,0,0,2
all,トランセンド,0,0,0,5
all,トーセンホマレボシ,0,0,0,2
all,ノボジャック,0,0,0,3
all,ハットトリック,0,0,0,1
all,ハードスパン,0,0,0,4
all,ハービンジャー,0,0,0,7
all,バンブーエール,0,0,0,2
all,パドトロワ,0,0,0,3
all,ビービーガルダン,0,0,0,1
all,ファスリエフ,0,0,0,1
all,ファルブラヴ,0,0,0,2
all,フェノーメノ,0,0,0,1
all,フサイチセブン,0,0,0,1
all,フリオーソ,0,0,0,3
all,フレンチデピュティ,0,0,0,4
all,ブライアンズタイム,0,0,0,3
all,プリサイスエンド,0,0,0,6
all,ベルシャザール,0,0,0,6
all,マイネルラヴ,0,0,0,1
all,モンテロッソ,0,0,0,3
all,リアルインパクト,0,0,0,1
all,ローエングリン,0,0,0,3
all,ロージズインメイ,0,0,0,6
all,ロードアルティマ,0,0,0,1
all,ワークフォース,0,0,0,6
all,ヴィクトワールピサ,0,0,0,19
1勝クラス,オルフェーヴル,2,0,0,4
1勝クラス,マツリダゴッホ,1,1,0,0
1勝クラス,メイショウボーラー,1,1,0,8
1勝クラス,ロードカナロア,1,1,0,0
1勝クラス,キンシャサノキセキ,1,0,0,4
1勝クラス,サウスヴィグラス,1,0,0,0
1勝クラス,バゴ,1,0,0,1
1勝クラス,ゴールドアリュール,0,1,1,4
1勝クラス,スクリーンヒーロー,0,1,1,2
1勝クラス,ケープブランコ,0,1,0,1
1勝クラス,スウェプトオーヴァーボード,0,1,0,0
1勝クラス,ディープインパクト,0,1,0,3
1勝クラス,エイシンフラッシュ,0,0,1,1
1勝クラス,キングズベスト,0,0,1,0
1勝クラス,ゴールドヘイロー,0,0,1,3
1勝クラス,シニスターミニスター,0,0,1,0
1勝クラス,スマートファルコン,0,0,1,0
1勝クラス,ヨハネスブルグ,0,0,1,1
1勝クラス,アイルハヴアナザー,0,0,0,3
1勝クラス,アルデバラン,0,0,0,1
1勝クラス,エンパイアメーカー,0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キングヘイロー,0,0,0,1
1勝クラス,クロフネ,0,0,0,2
1勝クラス,グラスワンダー,0,0,0,1
1勝クラス,ケイムホーム,0,0,0,1
1勝クラス,サマーバード,0,0,0,1
1勝クラス,サムライハート,0,0,0,1
1勝クラス,スズカマンボ,0,0,0,1
1勝クラス,ステイゴールド,0,0,0,1
1勝クラス,ゼンノロブロイ,0,0,0,1
1勝クラス,タートルボウル,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,2
