クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,5,4,3,33
all,キンシャサノキセキ,4,5,3,22
all,エスポワールシチー,4,2,2,9
all,サウスヴィグラス,3,3,4,24
all,ロードカナロア,3,3,2,22
all,ストロングリターン,3,1,0,13
all,クロフネ,2,3,3,13
all,ノヴェリスト,2,2,1,7
all,フサイチセブン,2,0,1,3
all,ウインバリアシオン,2,0,0,1
all,カネヒキリ,1,2,0,2
all,ネオユニヴァース,1,2,0,3
all,ゴールドアリュール,1,1,1,16
all,メイショウボーラー,1,1,1,9
all,リアルインパクト,1,1,1,8
all,オルフェーヴル,1,1,0,3
all,ダノンシャンティ,1,1,0,4
all,トゥザワールド,1,1,0,7
all,シニスターミニスター,1,0,2,14
all,スウェプトオーヴァーボード,1,0,2,16
all,スクリーンヒーロー,1,0,1,4
all,トビーズコーナー,1,0,1,1
all,ノボジャック,1,0,1,4
all,ヨハネスブルグ,1,0,1,8
all,ルーラーシップ,1,0,1,11
all,First Samurai,1,0,0,1
all,Medaglia d'Oro,1,0,0,0
all,Speightstown,1,0,0,3
all,アグネスデジタル,1,0,0,0
all,アニマルキングダム,1,0,0,1
all,ジョーカプチーノ,1,0,0,5
all,ダイワメジャー,1,0,0,11
all,ダンカーク,1,0,0,13
all,トゥザグローリー,1,0,0,6
all,パイロ,1,0,0,21
all,ラブリーデイ,1,0,0,1
all,ローエングリン,1,0,0,0
all,キングズベスト,0,3,0,3
all,ローズキングダム,0,2,2,5
all,ジャスタウェイ,0,2,1,5
all,スマートファルコン,0,2,0,9
all,ヴァーミリアン,0,2,0,3
all,Elusive Quality,0,1,2,0
all,Into Mischief,0,1,0,3
all,Take Charge Indy,0,1,0,1
all,オンファイア,0,1,0,3
all,サムライハート,0,1,0,2
all,タイキシャトル,0,1,0,4
all,タイセイレジェンド,0,1,0,1
all,タイムパラドックス,0,1,0,6
all,トランセンド,0,1,0,7
all,フェノーメノ,0,1,0,1
all,ベーカバド,0,1,0,4
all,マクフィ,0,1,0,0
all,ローレルゲレイロ,0,1,0,1
all,Pivotal,0,0,2,1
all,ホッコータルマエ,0,0,2,1
all,Fastnet Rock,0,0,1,0
all,Pioneerof the Nile,0,0,1,0
all,アポロキングダム,0,0,1,2
all,アンライバルド,0,0,1,1
all,エスケンデレヤ,0,0,1,2
all,エピファネイア,0,0,1,8
all,カレンブラックヒル,0,0,1,3
all,キャプテントゥーレ,0,0,1,2
all,キングカメハメハ,0,0,1,6
all,シンボリクリスエス,0,0,1,5
all,ゼンノロブロイ,0,0,1,4
all,ディスクリートキャット,0,0,1,4
all,トーセンジョーダン,0,0,1,5
all,トーセンラー,0,0,1,0
all,ハーツクライ,0,0,1,5
all,ミッキーアイル,0,0,1,0
all,モンテロッソ,0,0,1,2
all,ヴィクトワールピサ,0,0,1,2
all,Bernardini,0,0,0,1
all,Exceed And Excel,0,0,0,1
all,Graydar,0,0,0,1
all,Haynesfield,0,0,0,1
all,Jimmy Choux,0,0,0,1
all,Kingman,0,0,0,1
all,Leroidesanimaux,0,0,0,1
all,Malibu Moon,0,0,0,1
all,Midnight Lute,0,0,0,1
all,Night of Thunder,0,0,0,1
all,Overanalyze,0,0,0,1
all,Super Saver,0,0,0,2
all,Tale of the Cat,0,0,0,1
all,Tapit,0,0,0,2
all,Tapizar,0,0,0,1
all,Unbridled's Song,0,0,0,1
all,アイルハヴアナザー,0,0,0,10
all,アサクサキングス,0,0,0,1
all,アッミラーレ,0,0,0,1
all,アドマイヤオーラ,0,0,0,1
all,アドマイヤジャパン,0,0,0,1
all,アドマイヤマックス,0,0,0,2
all,アドマイヤムーン,0,0,0,4
all,アルデバラン,0,0,0,1
all,アーネストリー,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,17
all,エンパイアメーカー,0,0,0,6
all,オレハマッテルゼ,0,0,0,1
all,カジノドライヴ,0,0,0,8
all,カルストンライトオ,0,0,0,2
all,キズナ,0,0,0,6
all,キングヘイロー,0,0,0,6
all,クリエイター,0,0,0,1
all,クリーンエコロジー,0,0,0,1
all,グラスワンダー,0,0,0,3
all,グランプリボス,0,0,0,7
all,ケイムホーム,0,0,0,2
all,ケープブランコ,0,0,0,3
all,コパノリチャード,0,0,0,1
all,サイレントディール,0,0,0,1
all,サウンドボルケーノ,0,0,0,1
all,サンカルロ,0,0,0,1
all,ショウナンカンプ,0,0,0,2
all,ジャングルポケット,0,0,0,3
all,スズカコーズウェイ,0,0,0,1
all,スズカマンボ,0,0,0,1
all,スターリングローズ,0,0,0,1
all,ストリートセンス,0,0,0,1
all,スピルバーグ,0,0,0,2
all,タニノギムレット,0,0,0,1
all,タートルボウル,0,0,0,7
all,ダノンレジェンド,0,0,0,2
all,ディープインパクト,0,0,0,5
all,ディープスカイ,0,0,0,1
all,ディープブリランテ,0,0,0,5
all,デクラレーションオブウォー,0,0,0,2
all,トーセンファントム,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ノーザンリバー,0,0,0,1
all,ハードスパン,0,0,0,1
all,ハービンジャー,0,0,0,3
all,バゴ,0,0,0,1
all,バトルプラン,0,0,0,4
