クラス,血統,1着,2着,3着,着外
all,サウスヴィグラス,2,2,0,11
all,ヘニーヒューズ,1,3,1,7
all,ロードカナロア,1,1,1,3
all,マツリダゴッホ,1,1,0,1
all,Kitten's Joy,1,0,0,0
all,スウェプトオーヴァーボード,1,0,0,2
all,スズカコーズウェイ,1,0,0,0
all,トゥザグローリー,1,0,0,0
all,メイショウボーラー,1,0,0,2
all,ヨハネスブルグ,1,0,0,3
all,エンパイアメーカー,0,1,0,0
all,スマートファルコン,0,1,0,0
all,フェノーメノ,0,1,0,1
all,ヴァーミリアン,0,1,0,0
all,パイロ,0,0,2,3
all,Fusaichi Pegasus,0,0,1,0
all,アイルハヴアナザー,0,0,1,0
all,カジノドライヴ,0,0,1,1
all,サンライズペガサス,0,0,1,1
all,ネオユニヴァース,0,0,1,3
all,ハーツクライ,0,0,1,1
all,マジェスティックウォリアー,0,0,1,2
all,Cairo Prince,0,0,0,1
all,Creative Cause,0,0,0,1
all,Tapit,0,0,0,1
all,アグネスデジタル,0,0,0,3
all,アドマイヤオーラ,0,0,0,1
all,アーネストリー,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エスポワールシチー,0,0,0,3
all,エピファネイア,0,0,0,1
all,オルフェーヴル,0,0,0,3
all,オレハマッテルゼ,0,0,0,1
all,カネヒキリ,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キャプテントゥーレ,0,0,0,1
all,キングヘイロー,0,0,0,1
all,キンシャサノキセキ,0,0,0,6
all,クロフネ,0,0,0,3
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,1
all,ケイムホーム,0,0,0,2
all,ゴールドアリュール,0,0,0,12
all,サクラバクシンオー,0,0,0,1
all,シニスターミニスター,0,0,0,4
all,シンボリクリスエス,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,スクリーンヒーロー,0,0,0,3
all,スパイキュール,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,ダイワメジャー,0,0,0,4
all,ダノンシャンティ,0,0,0,1
all,ディスクリートキャット,0,0,0,2
all,ディープインパクト,0,0,0,1
all,ディープスカイ,0,0,0,1
all,トビーズコーナー,0,0,0,1
all,トランセンド,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,フリオーソ,0,0,0,1
all,ブラックタイド,0,0,0,1
all,ベルシャザール,0,0,0,1
all,ベーカバド,0,0,0,1
all,ミッキーアイル,0,0,0,2
all,メイショウサムソン,0,0,0,2
all,モーリス,0,0,0,1
all,リアルインパクト,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,ロージズインメイ,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,マツリダゴッホ,1,0,0,0
1勝クラス,メイショウボーラー,1,0,0,1
1勝クラス,エンパイアメーカー,0,1,0,0
1勝クラス,サウスヴィグラス,0,1,0,1
1勝クラス,ネオユニヴァース,0,0,1,0
1勝クラス,ヘニーヒューズ,0,0,1,1
1勝クラス,アドマイヤオーラ,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,クロフネ,0,0,0,1
1勝クラス,ゴールドアリュール,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,3
1勝クラス,ディープスカイ,0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,ベルシャザール,0,0,0,1
1勝クラス,メイショウサムソン,0,0,0,1
1勝クラス,ヨハネスブルグ,0,0,0,2
2勝クラス,Kitten's Joy,1,0,0,0
2勝クラス,サウスヴィグラス,1,0,0,1
2勝クラス,ヘニーヒューズ,0,1,0,2
2勝クラス,マツリダゴッホ,0,1,0,0
2勝クラス,サンライズペガサス,0,0,1,0
2勝クラス,パイロ,0,0,1,0
2勝クラス,Tapit,0,0,0,1
2勝クラス,アグネスデジタル,0,0,0,2
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,キンシャサノキセキ,0,0,0,3
2勝クラス,クロフネ,0,0,0,1
2勝クラス,グランプリボス,0,0,0,1
2勝クラス,ケイムホーム,0,0,0,2
2勝クラス,ゴールドアリュール,0,0,0,4
2勝クラス,スウェプトオーヴァーボード,0,0,0,2
2勝クラス,ディスクリートキャット,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,1
2勝クラス,トビーズコーナー,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,フリオーソ,0,0,0,1
2勝クラス,メイショウボーラー,0,0,0,1
3勝クラス,サウスヴィグラス,1,0,0,0
3勝クラス,ヘニーヒューズ,0,1,0,1
3勝クラス,パイロ,0,0,1,0
3勝クラス,アーネストリー,0,0,0,1
3勝クラス,エスポワールシチー,0,0,0,2
3勝クラス,オレハマッテルゼ,0,0,0,1
3勝クラス,キャプテントゥーレ,0,0,0,1
3勝クラス,クロフネ,0,0,0,1
3勝クラス,ゴールドアリュール,0,0,0,2
3勝クラス,サンライズペガサス,0,0,0,1
3勝クラス,シンボリクリスエス,0,0,0,1
3勝クラス,ネオユニヴァース,0,0,0,1
3勝クラス,マツリダゴッホ,0,0,0,1
オープン,ロードカナロア,1,0,1,0
オープン,スズカコーズウェイ,1,0,0,0
オープン,サウスヴィグラス,0,1,0,4
オープン,ヴァーミリアン,0,1,0,0
オープン,Fusaichi Pegasus,0,0,1,0
オープン,Cairo Prince,0,0,0,1
オープン,Creative Cause,0,0,0,1
オープン,アグネスデジタル,0,0,0,1
オープン,オルフェーヴル,0,0,0,3
オープン,カネヒキリ,0,0,0,1
オープン,キンシャサノキセキ,0,0,0,1
オープン,ゴールドアリュール,0,0,0,3
オープン,サクラバクシンオー,0,0,0,1
オープン,スクリーンヒーロー,0,0,0,1
オープン,スパイキュール,0,0,0,1
オープン,タイムパラドックス,0,0,0,1
オープン,ダノンシャンティ,0,0,0,1
オープン,パイロ,0,0,0,1
オープン,ブラックタイド,0,0,0,1
オープン,ヘニーヒューズ,0,0,0,2
オープン,ベーカバド,0,0,0,1
オープン,ヨハネスブルグ,0,0,0,1
未勝利,ヘニーヒューズ,1,1,0,1
未勝利,スウェプトオーヴァーボード,1,0,0,0
未勝利,トゥザグローリー,1,0,0,0
