クラス,血統,1着,2着,3着,着外
all,ハーツクライ,2,1,3,2
all,ディープインパクト,1,2,0,5
all,ハービンジャー,1,0,2,8
all,スクリーンヒーロー,1,0,0,0
all,タニノギムレット,1,0,0,0
all,ルーラーシップ,1,0,0,5
all,ジャスタウェイ,0,1,0,2
all,タートルボウル,0,1,0,0
all,ネオユニヴァース,0,1,0,0
all,ローエングリン,0,1,0,0
all,オルフェーヴル,0,0,1,2
all,ドリームジャーニー,0,0,1,1
all,Fastnet Rock,0,0,0,1
all,Haynesfield,0,0,0,2
all,アイルハヴアナザー,0,0,0,1
all,アドマイヤマックス,0,0,0,2
all,ゴールドアリュール,0,0,0,1
all,ザサンデーフサイチ,0,0,0,1
all,シンボリクリスエス,0,0,0,4
all,ジャングルポケット,0,0,0,2
all,ステイゴールド,0,0,0,4
all,ゼンノロブロイ,0,0,0,2
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,バゴ,0,0,0,1
all,バトルプラン,0,0,0,1
all,ブラックタイド,0,0,0,1
all,ロードカナロア,0,0,0,1
all,ワークフォース,0,0,0,3
1勝クラス,ディープインパクト,1,0,0,1
1勝クラス,ハービンジャー,1,0,0,3
1勝クラス,ジャスタウェイ,0,1,0,1
1勝クラス,タートルボウル,0,1,0,0
1勝クラス,オルフェーヴル,0,0,1,1
1勝クラス,ハーツクライ,0,0,1,0
1勝クラス,Haynesfield,0,0,0,2
1勝クラス,アイルハヴアナザー,0,0,0,1
1勝クラス,ステイゴールド,0,0,0,1
1勝クラス,ゼンノロブロイ,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ワークフォース,0,0,0,1
2勝クラス,タニノギムレット,1,0,0,0
2勝クラス,ルーラーシップ,1,0,0,4
2勝クラス,ディープインパクト,0,1,0,0
2勝クラス,ネオユニヴァース,0,1,0,0
2勝クラス,ハービンジャー,0,0,2,2
2勝クラス,Fastnet Rock,0,0,0,1
2勝クラス,シンボリクリスエス,0,0,0,2
2勝クラス,ダノンシャンティ,0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,バゴ,0,0,0,1
2勝クラス,ワークフォース,0,0,0,2
オープン,ハーツクライ,2,1,2,2
オープン,ローエングリン,0,1,0,0
オープン,アドマイヤマックス,0,0,0,1
オープン,ゴールドアリュール,0,0,0,1
オープン,シンボリクリスエス,0,0,0,2
オープン,ジャングルポケット,0,0,0,2
オープン,ステイゴールド,0,0,0,3
オープン,ゼンノロブロイ,0,0,0,1
オープン,ダイワメジャー,0,0,0,1
オープン,ディープインパクト,0,0,0,2
オープン,ドリームジャーニー,0,0,0,1
オープン,ハービンジャー,0,0,0,1
オープン,バトルプラン,0,0,0,1
未勝利,スクリーンヒーロー,1,0,0,0
未勝利,ディープインパクト,0,1,0,2
未勝利,ドリームジャーニー,0,0,1,0
未勝利,アドマイヤマックス,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,ザサンデーフサイチ,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,ハービンジャー,0,0,0,2
未勝利,ルーラーシップ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
