クラス,血統,1着,2着,3着,着外
all,ハーツクライ,2,1,1,3
all,ハービンジャー,1,1,2,3
all,シンボリクリスエス,1,0,0,0
all,ノヴェリスト,1,0,0,3
all,ワークフォース,1,0,0,2
all,オルフェーヴル,0,1,1,0
all,アドマイヤムーン,0,1,0,0
all,ディープインパクト,0,1,0,5
all,ディープブリランテ,0,1,0,0
all,ジャスタウェイ,0,0,1,0
all,ダノンシャンティ,0,0,1,2
all,Haynesfield,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,キングカメハメハ,0,0,0,2
all,コンデュイット,0,0,0,1
all,スズカマンボ,0,0,0,0
all,ステイゴールド,0,0,0,1
all,ゼンノロブロイ,0,0,0,3
all,タニノギムレット,0,0,0,2
all,ダイワメジャー,0,0,0,3
all,テイエムオペラオー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,メイショウサムソン,0,0,0,1
all,メジロダイボサツ,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ロードカナロア,0,0,0,1
1勝クラス,シンボリクリスエス,1,0,0,0
1勝クラス,ノヴェリスト,1,0,0,0
1勝クラス,ワークフォース,1,0,0,2
1勝クラス,アドマイヤムーン,0,1,0,0
1勝クラス,ディープインパクト,0,1,0,3
1勝クラス,ハービンジャー,0,1,0,1
1勝クラス,オルフェーヴル,0,0,1,0
1勝クラス,ジャスタウェイ,0,0,1,0
1勝クラス,ダノンシャンティ,0,0,1,1
1勝クラス,Haynesfield,0,0,0,1
1勝クラス,ゼンノロブロイ,0,0,0,3
1勝クラス,タニノギムレット,0,0,0,2
1勝クラス,ダイワメジャー,0,0,0,3
1勝クラス,ナカヤマフェスタ,0,0,0,1
1勝クラス,ネオユニヴァース,0,0,0,1
1勝クラス,メイショウサムソン,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ハーツクライ,1,0,0,1
2勝クラス,ディープブリランテ,0,1,0,0
2勝クラス,ハービンジャー,0,0,1,1
2勝クラス,キングカメハメハ,0,0,0,2
2勝クラス,コンデュイット,0,0,0,1
2勝クラス,スズカマンボ,0,0,0,0
2勝クラス,ダノンシャンティ,0,0,0,1
2勝クラス,ノヴェリスト,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
未勝利,ハーツクライ,1,1,1,2
未勝利,ハービンジャー,1,0,1,1
未勝利,オルフェーヴル,0,1,0,0
未勝利,エイシンフラッシュ,0,0,0,2
未勝利,ステイゴールド,0,0,0,1
未勝利,テイエムオペラオー,0,0,0,1
未勝利,ディープインパクト,0,0,0,2
未勝利,ノヴェリスト,0,0,0,2
未勝利,メジロダイボサツ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
