クラス,血統,1着,2着,3着,着外
all,ロードカナロア,4,4,3,16
all,ネロ,3,1,3,18
all,サートゥルナーリア,3,0,0,8
all,ビッグアーサー,2,2,3,15
all,リオンディーズ,2,2,0,11
all,ダイワメジャー,2,0,2,17
all,ドレフォン,2,0,2,6
all,カリフォルニアクローム,2,0,1,4
all,エピファネイア,2,0,0,7
all,ミッキーアイル,1,2,1,19
all,モズアスコット,1,2,1,11
all,モーリス,1,2,0,14
all,ファインニードル,1,1,3,7
all,サンダースノー,1,1,1,7
all,アドマイヤムーン,1,1,0,10
all,ミスターメロディ,1,1,0,13
all,Harry Angel,1,0,1,0
all,アメリカンペイトリオット,1,0,1,7
all,オルフェーヴル,1,0,1,6
all,ニューイヤーズデイ,1,0,1,4
all,American Pharoah,1,0,0,2
all,Kitten's Joy,1,0,0,0
all,アジアエクスプレス,1,0,0,2
all,イスラボニータ,1,0,0,8
all,ウインブライト,1,0,0,0
all,ダノンスマッシュ,1,0,0,1
all,ディスクリートキャット,1,0,0,7
all,トーセンラー,1,0,0,3
all,ブリックスアンドモルタル,1,0,0,6
all,レイデオロ,1,0,0,2
all,ザファクター,0,3,0,0
all,タワーオブロンドン,0,2,2,14
all,アニマルキングダム,0,2,0,2
all,シルバーステート,0,2,0,17
all,キタサンブラック,0,1,2,5
all,グレーターロンドン,0,1,2,5
all,ストロングリターン,0,1,1,4
all,フィエールマン,0,1,1,2
all,Tiz the Law,0,1,0,0
all,エーシントップ,0,1,0,1
all,キズナ,0,1,0,8
all,サトノアラジン,0,1,0,6
all,スワーヴリチャード,0,1,0,7
all,ダノンレジェンド,0,1,0,0
all,デクラレーションオブウォー,0,1,0,3
all,ベンバトル,0,1,0,0
all,リアルスティール,0,1,0,10
all,ルーラーシップ,0,1,0,8
all,レッドスパーダ,0,1,0,1
all,アドマイヤマーズ,0,0,2,9
all,Iffraaj,0,0,1,1
all,スクリーンヒーロー,0,0,1,3
all,スマートオーディン,0,0,1,0
all,タリスマニック,0,0,1,2
all,ドゥラメンテ,0,0,1,7
all,ノーブルミッション,0,0,1,7
all,マクフィ,0,0,1,10
all,ミッキーロケット,0,0,1,1
all,ヴァンキッシュラン,0,0,1,1
all,Capitalist,0,0,0,1
all,Dark Angel,0,0,0,1
all,Farnan,0,0,0,1
all,Frankel,0,0,0,1
all,Practical Joke,0,0,0,2
all,Street Boss,0,0,0,1
all,U S Navy Flag,0,0,0,1
all,Zoustar,0,0,0,2
all,アドミラブル,0,0,0,1
all,アポロケンタッキー,0,0,0,1
