クラス,血統,1着,2着,3着,着外
all,ビッグアーサー,3,2,1,8
all,タワーオブロンドン,3,0,0,5
all,ロードカナロア,2,3,2,14
all,アルアイン,2,1,1,1
all,キズナ,1,0,1,4
all,バンドワゴン,1,0,1,2
all,ファインニードル,1,0,1,5
all,モーリス,1,0,1,9
all,Harry Angel,1,0,0,0
all,Practical Joke,1,0,0,0
all,キタサンブラック,1,0,0,8
all,コパノリッキー,1,0,0,0
all,シルバーステート,1,0,0,5
all,ビーチパトロール,1,0,0,0
all,フィレンツェファイア,1,0,0,4
all,マインドユアビスケッツ,1,0,0,1
all,サトノダイヤモンド,0,2,2,0
all,ダイワメジャー,0,2,1,2
all,アメリカンペイトリオット,0,2,0,4
all,Frankel,0,1,1,2
all,ブリックスアンドモルタル,0,1,1,3
all,レッドベルジュール,0,1,1,0
all,Charlatan,0,1,0,0
all,Frosted,0,1,0,2
all,Into Mischief,0,1,0,0
all,クロフネ,0,1,0,0
all,ダノンプレミアム,0,1,0,2
all,ディスクリートキャット,0,1,0,3
all,ミスターメロディ,0,1,0,3
all,ミッキーアイル,0,0,2,6
all,イスラボニータ,0,0,1,0
all,エピファネイア,0,0,1,6
all,スワーヴリチャード,0,0,1,2
all,タリスマニック,0,0,1,2
all,ドゥラメンテ,0,0,1,4
all,ドレフォン,0,0,1,1
all,ハーツクライ,0,0,1,2
all,American Pharoah,0,0,0,1
all,Catholic Boy,0,0,0,1
all,Dark Angel,0,0,0,3
all,Havana Grey,0,0,0,1
all,Kingman,0,0,0,1
all,Leinster,0,0,0,1
all,More Than Ready,0,0,0,1
all,Nyquist,0,0,0,1
all,Speightstown,0,0,0,1
all,Too Darn Hot,0,0,0,1
all,Twirling Candy,0,0,0,1
all,War Front,0,0,0,1
all,アジアエクスプレス,0,0,0,3
all,アドマイヤマーズ,0,0,0,3
all,アドマイヤムーン,0,0,0,0
all,アポロキングダム,0,0,0,1
all,アレスバローズ,0,0,0,2
all,ウインブライト,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,カラヴァッジオ,0,0,0,2
all,カリフォルニアクローム,0,0,0,2
all,カレンブラックヒル,0,0,0,3
all,キセキ,0,0,0,1
all,キンシャサノキセキ,0,0,0,3
all,グランプリボス,0,0,0,1
all,グレーターロンドン,0,0,0,2
all,サトノアラジン,0,0,0,0
all,サトノアレス,0,0,0,1
all,サトノクラウン,0,0,0,2
all,サンダースノー,0,0,0,1
all,サートゥルナーリア,0,0,0,2
all,ザファクター,0,0,0,1
all,シニスターミニスター,0,0,0,1
all,シュヴァルグラン,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,4
all,ストロングリターン,0,0,0,1
all,セイウンコウセイ,0,0,0,1
all,ダノンキングリー,0,0,0,1
all,ダノンスマッシュ,0,0,0,2
all,ダノンバラード,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,ディープインパクト,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,ニューイヤーズデイ,0,0,0,2
all,ノーブルミッション,0,0,0,1
all,バゴ,0,0,0,1
all,バトルプラン,0,0,0,1
all,パイロ,0,0,0,1
all,パドトロワ,0,0,0,1
all,ブラックタイド,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,マクフィ,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,ミスチヴィアスアレックス,0,0,0,1
all,モズアスコット,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リアルインパクト,0,0,0,2
all,リアルスティール,0,0,0,2
all,リオンディーズ,0,0,0,7
all,ルーラーシップ,0,0,0,6
all,レイデオロ,0,0,0,2
all,レッドスパーダ,0,0,0,2
all,ロゴタイプ,0,0,0,3
all,ヴァンゴッホ,0,0,0,1
1勝クラス,モーリス,1,0,1,3
1勝クラス,アルアイン,1,0,0,0
1勝クラス,コパノリッキー,1,0,0,0
