クラス,血統,1着,2着,3着,着外
all,ディープインパクト,3,5,2,22
all,ブラックタイド,3,5,2,7
all,ハーツクライ,3,4,2,16
all,ダイワメジャー,3,3,5,13
all,ルーラーシップ,3,2,3,17
all,オルフェーヴル,3,2,2,14
all,キングカメハメハ,3,1,0,21
all,ダノンバラード,3,0,1,3
all,ワークフォース,2,1,0,4
all,ステイゴールド,2,0,1,7
all,トゥザワールド,2,0,1,1
all,ドゥラメンテ,2,0,1,4
all,ハービンジャー,2,0,1,6
all,War Front,2,0,0,0
all,エイシンフラッシュ,2,0,0,20
all,キタサンブラック,2,0,0,7
all,ミッキーアイル,2,0,0,6
all,キズナ,1,3,2,6
all,マツリダゴッホ,1,2,1,10
all,キングズベスト,1,2,0,2
all,ネオユニヴァース,1,2,0,9
all,ジャスタウェイ,1,1,2,4
all,アドマイヤムーン,1,1,0,4
all,エピファネイア,1,1,0,16
all,サトノダイヤモンド,1,1,0,2
all,マジェスティックウォリアー,1,1,0,8
all,ゴールドシップ,1,0,2,10
all,ディープブリランテ,1,0,2,1
all,フェノーメノ,1,0,2,2
all,クロフネ,1,0,1,11
all,メイショウサムソン,1,0,1,3
all,ローズキングダム,1,0,1,2
all,Dansili,1,0,0,0
all,アドマイヤオーラ,1,0,0,0
all,エスケンデレヤ,1,0,0,1
all,サトノクラウン,1,0,0,2
all,シビルウォー,1,0,0,2
all,ダンスインザダーク,1,0,0,0
all,デクラレーションオブウォー,1,0,0,1
all,バゴ,1,0,0,2
all,バトルプラン,1,0,0,0
all,ブレイクランアウト,1,0,0,1
all,マンハッタンカフェ,1,0,0,2
all,モーリス,1,0,0,6
all,リオンディーズ,1,0,0,1
all,リヤンドファミユ,1,0,0,1
all,ヴィクトワールピサ,0,2,2,10
all,ビーチパトロール,0,2,1,2
all,ブリックスアンドモルタル,0,2,1,1
all,ベーカバド,0,2,0,1
all,ロードカナロア,0,2,0,15
all,Take Charge Indy,0,1,1,0
all,アメリカンボス,0,1,1,1
all,サトノアラジン,0,1,1,1
all,ノヴェリスト,0,1,1,8
all,レイデオロ,0,1,1,8
all,Collected,0,1,0,0
all,Study of Man,0,1,0,0
all,アグネスデジタル,0,1,0,2
all,アサクサキングス,0,1,0,3
all,アメリカンペイトリオット,0,1,0,0
all,エスポワールシチー,0,1,0,2
all,グレーターロンドン,0,1,0,2
all,コンデュイット,0,1,0,2
all,サンダースノー,0,1,0,0
all,シュヴァルグラン,0,1,0,0
all,スウェプトオーヴァーボード,0,1,0,3
all,スピルバーグ,0,1,0,2
all,タートルボウル,0,1,0,5
all,ダンカーク,0,1,0,3
