クラス,血統,1着,2着,3着,着外
all,ディープインパクト,6,5,5,29
all,ハービンジャー,5,2,1,29
all,ジャスタウェイ,4,1,1,3
all,ハーツクライ,3,3,4,27
all,エイシンフラッシュ,3,1,1,11
all,キングカメハメハ,2,3,2,7
all,オルフェーヴル,2,2,3,15
all,ヴィクトワールピサ,2,1,2,13
all,キズナ,2,0,1,7
all,ルーラーシップ,1,3,3,21
all,ロードカナロア,1,2,2,9
all,ダイワメジャー,1,1,1,9
all,エピファネイア,1,1,0,3
all,キンシャサノキセキ,1,1,0,1
all,ブラックタイド,1,1,0,10
all,ノヴェリスト,1,0,1,8
all,サマーバード,1,0,0,0
all,スマートロビン,1,0,0,0
all,ディープブリランテ,1,0,0,3
all,トーセンラー,1,0,0,1
all,ローズキングダム,1,0,0,0
all,ドリームジャーニー,0,2,0,8
all,アイルハヴアナザー,0,1,1,3
all,キングズベスト,0,1,1,2
all,Frankel,0,1,0,2
all,シンボリクリスエス,0,1,0,1
all,タニノギムレット,0,1,0,2
all,タートルボウル,0,1,0,0
all,ダンカーク,0,1,0,4
all,トーセンホマレボシ,0,1,0,0
all,ナカヤマフェスタ,0,1,0,1
all,ミスキャスト,0,1,0,1
all,モンテロッソ,0,1,0,1
all,ワークフォース,0,1,0,5
all,ステイゴールド,0,0,2,13
all,Mastercraftsman,0,0,1,1
all,Teofilo,0,0,1,1
all,ケープブランコ,0,0,1,2
all,ゴールドアリュール,0,0,1,1
all,ジャングルポケット,0,0,1,5
all,スクリーンヒーロー,0,0,1,6
all,ストーミングホーム,0,0,1,0
all,ベーカバド,0,0,1,1
all,マンハッタンカフェ,0,0,1,5
all,American Pharoah,0,0,0,1
all,Blame,0,0,0,1
all,Canford Cliffs,0,0,0,1
all,Colonel John,0,0,0,1
all,Dawn Approach,0,0,0,1
all,English Channel,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,No Nay Never,0,0,0,1
all,Pioneerof the Nile,0,0,0,1
all,Street Cry,0,0,0,1
all,アドマイヤマックス,0,0,0,2
all,アドマイヤムーン,0,0,0,1
all,アンライバルド,0,0,0,2
all,アーネストリー,0,0,0,1
all,エンパイアメーカー,0,0,0,3
all,オーシャンブルー,0,0,0,2
all,カンパニー,0,0,0,1
all,クロフネ,0,0,0,1
all,グラスワンダー,0,0,0,1
all,グランプリボス,0,0,0,1
all,ゴールドシップ,0,0,0,4
all,サムライハート,0,0,0,1
all,ザサンデーフサイチ,0,0,0,1
all,シルポート,0,0,0,1
all,スズカフェニックス,0,0,0,3
all,ストロングリターン,0,0,0,1
all,スーパーホーネット,0,0,0,1
all,ゼンノロブロイ,0,0,0,2
all,タイキシャトル,0,0,0,1
all,ダノンシャンティ,0,0,0,1
