クラス,血統,1着,2着,3着,着外
all,ロードカナロア,1,2,1,7
all,マツリダゴッホ,1,1,0,2
all,キンシャサノキセキ,1,0,1,5
all,キングヘイロー,1,0,0,0
all,スズカマンボ,1,0,0,0
all,ダンカーク,1,0,0,0
all,ハーツクライ,1,0,0,2
all,ヘニーヒューズ,1,0,0,1
all,Frankel,0,1,1,0
all,スズカフェニックス,0,1,1,0
all,Raven's Pass,0,1,0,0
all,ダノンバラード,0,1,0,0
all,モンテロッソ,0,1,0,0
all,ステイゴールド,0,0,1,1
all,トーセンラー,0,0,1,0
all,ナカヤマフェスタ,0,0,1,1
all,リアルインパクト,0,0,1,0
all,Closing Argument,0,0,0,1
all,Elusive City,0,0,0,1
all,Giant's Causeway,0,0,0,1
all,Into Mischief,0,0,0,1
all,Mizzen Mast,0,0,0,1
all,Scat Daddy,0,0,0,1
all,Shamardal,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アドマイヤオーラ,0,0,0,2
all,アドマイヤムーン,0,0,0,3
all,ウォーターリーグ,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,オルフェーヴル,0,0,0,3
all,カネヒキリ,0,0,0,1
all,キズナ,0,0,0,2
all,キングズベスト,0,0,0,1
all,ケープブランコ,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,サクラオリオン,0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,スクリーンヒーロー,0,0,0,3
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,4
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,2
all,ディープインパクト,0,0,0,2
all,ディープブリランテ,0,0,0,5
all,ノヴェリスト,0,0,0,3
all,ハードスパン,0,0,0,1
all,ハービンジャー,0,0,0,4
all,バトルプラン,0,0,0,2
all,ブライアンズタイム,0,0,0,1
all,ベルシャザール,0,0,0,1
all,マンハッタンカフェ,0,0,0,2
all,メイショウボーラー,0,0,0,2
all,ヨハネスブルグ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ワークフォース,0,0,0,2
1勝クラス,ダンカーク,1,0,0,0
1勝クラス,スズカフェニックス,0,1,1,0
1勝クラス,Mizzen Mast,0,0,0,1
1勝クラス,アドマイヤオーラ,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ダノンシャンティ,0,0,0,2
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,バトルプラン,0,0,0,1
