クラス,血統,1着,2着,3着,着外
all,オルフェーヴル,3,0,2,2
all,ゴールドシップ,1,1,4,11
all,ロードカナロア,1,1,0,0
all,Uncle Mo,1,0,0,0
all,キズナ,1,0,0,3
all,キタサンブラック,1,0,0,2
all,リアルスティール,1,0,0,2
all,ドゥラメンテ,0,2,1,9
all,シルバーステート,0,2,0,1
all,ルーラーシップ,0,1,1,5
all,ブラックタイド,0,1,0,0
all,ホッコータルマエ,0,1,0,1
all,ノヴェリスト,0,0,1,0
all,Frankel,0,0,0,1
all,Into Mischief,0,0,0,1
all,Malibu Moon,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エピファネイア,0,0,0,5
all,オウケンブルースリ,0,0,0,1
all,キングカメハメハ,0,0,0,4
all,クロフネ,0,0,0,1
all,グレーターロンドン,0,0,0,1
all,サトノクラウン,0,0,0,3
all,シャンハイボビー,0,0,0,2
all,ジャスタウェイ,0,0,0,1
all,スピルバーグ,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダンカーク,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,ディープインパクト,0,0,0,4
all,ディープブリランテ,0,0,0,3
all,ディーマジェスティ,0,0,0,2
all,トーホウジャッカル,0,0,0,1
all,ハーツクライ,0,0,0,4
all,ハービンジャー,0,0,0,10
all,バゴ,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,マクフィ,0,0,0,1
all,ミッキーロケット,0,0,0,1
all,モーリス,0,0,0,2
all,ラブリーデイ,0,0,0,1
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,レッドファルクス,0,0,0,1
all,ロージズインメイ,0,0,0,1
1勝クラス,オルフェーヴル,2,0,1,1
1勝クラス,ゴールドシップ,1,1,2,8
1勝クラス,Uncle Mo,1,0,0,0
1勝クラス,キタサンブラック,1,0,0,0
1勝クラス,リアルスティール,1,0,0,1
1勝クラス,ドゥラメンテ,0,2,1,7
1勝クラス,シルバーステート,0,2,0,0
1勝クラス,ホッコータルマエ,0,1,0,0
1勝クラス,ノヴェリスト,0,0,1,0
1勝クラス,ルーラーシップ,0,0,1,2
1勝クラス,Frankel,0,0,0,1
1勝クラス,Malibu Moon,0,0,0,1
1勝クラス,エピファネイア,0,0,0,4
1勝クラス,オウケンブルースリ,0,0,0,1
1勝クラス,キズナ,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,3
1勝クラス,サトノクラウン,0,0,0,2
1勝クラス,シャンハイボビー,0,0,0,2
1勝クラス,スピルバーグ,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ディスクリートキャット,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,3
1勝クラス,ディープブリランテ,0,0,0,3
1勝クラス,ディーマジェスティ,0,0,0,2
1勝クラス,トーホウジャッカル,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,2
1勝クラス,ハービンジャー,0,0,0,8
1勝クラス,ビーチパトロール,0,0,0,1
1勝クラス,マクフィ,0,0,0,1
1勝クラス,モーリス,0,0,0,2
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,リアルインパクト,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
2勝クラス,オルフェーヴル,1,0,1,1
2勝クラス,キズナ,1,0,0,1
2勝クラス,ルーラーシップ,0,1,0,1
2勝クラス,ロードカナロア,0,1,0,0
2勝クラス,ゴールドシップ,0,0,1,3
2勝クラス,Into Mischief,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,キタサンブラック,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,クロフネ,0,0,0,1
2勝クラス,シルバーステート,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,1
2勝クラス,ドゥラメンテ,0,0,0,2
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,ハービンジャー,0,0,0,2
2勝クラス,ホッコータルマエ,0,0,0,1
2勝クラス,ミッキーロケット,0,0,0,1
2勝クラス,レッドファルクス,0,0,0,1
未勝利,ロードカナロア,1,0,0,0
未勝利,ブラックタイド,0,1,0,0
未勝利,ゴールドシップ,0,0,1,0
未勝利,エピファネイア,0,0,0,1
未勝利,キズナ,0,0,0,1
未勝利,キタサンブラック,0,0,0,1
未勝利,グレーターロンドン,0,0,0,1
未勝利,サトノクラウン,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,ハーツクライ,0,0,0,1
未勝利,バゴ,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,ルーラーシップ,0,0,0,2
未勝利,ロージズインメイ,0,0,0,1
